,precision,recall,f1-score,support
Black footed Albatross,0.0,0.0,0.0,30.0
Laysan Albatross,0.0,0.0,0.0,30.0
Sooty Albatross,0.0,0.0,0.0,28.0
Groove billed Ani,0.0,0.0,0.0,30.0
Crested Auklet,0.0,0.0,0.0,14.0
Least Auklet,0.0,0.0,0.0,11.0
Parakeet Auklet,0.0,0.0,0.0,23.0
Rhinoceros Auklet,0.0,0.0,0.0,18.0
Brewer Blackbird,0.0,0.0,0.0,29.0
Red winged Blackbird,0.0,0.0,0.0,30.0
Rusty Blackbird,0.0,0.0,0.0,30.0
Yellow headed Blackbird,0.0,0.0,0.0,26.0
Bobolink,0.0,0.0,0.0,30.0
Indigo Bunting,0.0,0.0,0.0,30.0
Lazuli Bunting,0.0,0.0,0.0,28.0
Painted Bunting,0.0,0.0,0.0,28.0
Cardinal,0.0,0.0,0.0,27.0
Spotted Catbird,0.0,0.0,0.0,15.0
Gray Catbird,0.0,0.0,0.0,29.0
Yellow breasted Chat,0.0,0.0,0.0,29.0
Eastern Towhee,0.0,0.0,0.0,30.0
Chuck will Widow,0.0,0.0,0.0,26.0
Brandt Cormorant,0.0,0.0,0.0,29.0
Red faced Cormorant,0.0,0.0,0.0,22.0
Pelagic Cormorant,0.0,0.0,0.0,30.0
Bronzed Cowbird,0.0,0.0,0.0,30.0
Shiny Cowbird,0.0,0.0,0.0,30.0
Brown Creeper,0.0,0.0,0.0,29.0
American Crow,0.0,0.0,0.0,30.0
Fish Crow,0.0,0.0,0.0,30.0
Black billed Cuckoo,0.0,0.0,0.0,30.0
Mangrove Cuckoo,0.0,0.0,0.0,23.0
Yellow billed Cuckoo,0.0,0.0,0.0,29.0
Gray crowned Rosy Finch,0.0,0.0,0.0,29.0
Purple Finch,0.0,0.0,0.0,30.0
Northern Flicker,0.0,0.0,0.0,30.0
Acadian Flycatcher,0.0,0.0,0.0,29.0
Great Crested Flycatcher,0.0,0.0,0.0,30.0
Least Flycatcher,0.0,0.0,0.0,29.0
Olive sided Flycatcher,0.0,0.0,0.0,30.0
Scissor tailed Flycatcher,0.0,0.0,0.0,30.0
Vermilion Flycatcher,0.0,0.0,0.0,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.0,0.0,0.0,30.0
Northern Fulmar,0.0,0.0,0.0,30.0
Gadwall,0.0,0.0,0.0,30.0
American Goldfinch,0.0,0.0,0.0,30.0
European Goldfinch,0.0,0.0,0.0,30.0
Boat tailed Grackle,0.0,0.0,0.0,30.0
Eared Grebe,0.0,0.0,0.0,30.0
Horned Grebe,0.0,0.0,0.0,30.0
Pied billed Grebe,0.0,0.0,0.0,30.0
Western Grebe,0.0,0.0,0.0,30.0
Blue Grosbeak,0.0,0.0,0.0,30.0
Evening Grosbeak,0.0,0.0,0.0,30.0
Pine Grosbeak,0.0,0.0,0.0,30.0
Rose breasted Grosbeak,0.0,0.0,0.0,30.0
Pigeon Guillemot,0.0,0.0,0.0,28.0
California Gull,0.0,0.0,0.0,30.0
Glaucous winged Gull,0.0,0.0,0.0,29.0
Heermann Gull,0.0,0.0,0.0,30.0
Herring Gull,0.0,0.0,0.0,30.0
Ivory Gull,0.0,0.0,0.0,30.0
Ring billed Gull,0.0,0.0,0.0,30.0
Slaty backed Gull,0.0,0.0,0.0,20.0
Western Gull,0.0,0.0,0.0,30.0
Anna Hummingbird,0.0,0.0,0.0,30.0
Ruby throated Hummingbird,0.0,0.0,0.0,30.0
Rufous Hummingbird,0.0,0.0,0.0,30.0
Green Violetear,0.0,0.0,0.0,30.0
Long tailed Jaeger,0.0,0.0,0.0,30.0
Pomarine Jaeger,0.0,0.0,0.0,30.0
Blue Jay,0.0,0.0,0.0,30.0
Florida Jay,0.0,0.0,0.0,30.0
Green Jay,0.0,0.0,0.0,27.0
Dark eyed Junco,0.0,0.0,0.0,30.0
Tropical Kingbird,0.0,0.0,0.0,30.0
Gray Kingbird,0.0,0.0,0.0,29.0
Belted Kingfisher,0.0,0.0,0.0,30.0
Green Kingfisher,0.0,0.0,0.0,30.0
Pied Kingfisher,0.0,0.0,0.0,30.0
