,precision,recall,f1-score,support
Black footed Albatross,0.0,0.0,0.0,30.0
Laysan Albatross,0.0,0.0,0.0,30.0
Sooty Albatross,0.04477611940298507,0.75,0.08450704225352113,28.0
Groove billed Ani,0.01639344262295082,0.7333333333333333,0.03206997084548105,30.0
Crested Auklet,0.23809523809523808,0.35714285714285715,0.2857142857142857,14.0
Least Auklet,0.0,0.0,0.0,11.0
Parakeet Auklet,0.7333333333333333,0.4782608695652174,0.5789473684210527,23.0
Rhinoceros Auklet,0.07692307692307693,0.05555555555555555,0.06451612903225806,18.0
Brewer Blackbird,0.0,0.0,0.0,29.0
Red winged Blackbird,0.12121212121212122,0.13333333333333333,0.12698412698412698,30.0
Rusty Blackbird,0.0,0.0,0.0,30.0
Yellow headed Blackbird,0.6,0.11538461538461539,0.1935483870967742,26.0
Bobolink,0.0,0.0,0.0,30.0
Indigo Bunting,0.72,0.6,0.6545454545454545,30.0
Lazuli Bunting,0.041666666666666664,0.03571428571428571,0.038461538461538464,28.0
Painted Bunting,0.05128205128205128,0.14285714285714285,0.07547169811320754,28.0
Cardinal,0.08333333333333333,0.1111111111111111,0.09523809523809523,27.0
Spotted Catbird,0.6666666666666666,0.26666666666666666,0.38095238095238093,15.0
Gray Catbird,0.0,0.0,0.0,29.0
Yellow breasted Chat,0.0,0.0,0.0,29.0
Eastern Towhee,0.0,0.0,0.0,30.0
Chuck will Widow,0.1282051282051282,0.19230769230769232,0.15384615384615385,26.0
Brandt Cormorant,0.0,0.0,0.0,29.0
Red faced Cormorant,0.38461538461538464,0.22727272727272727,0.2857142857142857,22.0
Pelagic Cormorant,0.1,0.03333333333333333,0.05,30.0
Bronzed Cowbird,0.09090909090909091,0.03333333333333333,0.04878048780487805,30.0
Shiny Cowbird,0.0,0.0,0.0,30.0
Brown Creeper,0.4444444444444444,0.13793103448275862,0.21052631578947367,29.0
American Crow,0.0,0.0,0.0,30.0
Fish Crow,0.0,0.0,0.0,30.0
Black billed Cuckoo,0.0,0.0,0.0,30.0
Mangrove Cuckoo,0.0,0.0,0.0,23.0
Yellow billed Cuckoo,0.0,0.0,0.0,29.0
Gray crowned Rosy Finch,0.0,0.0,0.0,29.0
Purple Finch,0.375,0.1,0.15789473684210525,30.0
Northern Flicker,0.0,0.0,0.0,30.0
Acadian Flycatcher,0.0,0.0,0.0,29.0
Great Crested Flycatcher,0.0,0.0,0.0,30.0
Least Flycatcher,0.0,0.0,0.0,29.0
Olive sided Flycatcher,0.0,0.0,0.0,30.0
Scissor tailed Flycatcher,0.0,0.0,0.0,30.0
Vermilion Flycatcher,0.2916666666666667,0.23333333333333334,0.25925925925925924,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.0,0.0,0.0,30.0
Northern Fulmar,0.0,0.0,0.0,30.0
Gadwall,0.09615384615384616,0.16666666666666666,0.12195121951219512,30.0
American Goldfinch,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
European Goldfinch,0.0,0.0,0.0,30.0
Boat tailed Grackle,0.0,0.0,0.0,30.0
Eared Grebe,0.4594594594594595,0.5666666666666667,0.5074626865671642,30.0
Horned Grebe,0.3333333333333333,0.23333333333333334,0.27450980392156865,30.0
Pied billed Grebe,0.4166666666666667,0.16666666666666666,0.23809523809523808,30.0
Western Grebe,0.4090909090909091,0.3,0.34615384615384615,30.0
Blue Grosbeak,0.4,0.26666666666666666,0.32,30.0
Evening Grosbeak,0.34146341463414637,0.4666666666666667,0.39436619718309857,30.0
Pine Grosbeak,0.18181818181818182,0.06666666666666667,0.0975609756097561,30.0
Rose breasted Grosbeak,0.0,0.0,0.0,30.0
Pigeon Guillemot,0.0,0.0,0.0,28.0
California Gull,0.09844559585492228,0.6333333333333333,0.17040358744394618,30.0
Glaucous winged Gull,0.0,0.0,0.0,29.0
Heermann Gull,0.391304347826087,0.3,0.33962264150943394,30.0
Herring Gull,0.0,0.0,0.0,30.0
Ivory Gull,0.6363636363636364,0.23333333333333334,0.34146341463414637,30.0
Ring billed Gull,0.0,0.0,0.0,30.0
Slaty backed Gull,0.0,0.0,0.0,20.0
