,precision,recall,f1-score,support
Black footed Albatross,0.43103448275862066,0.8333333333333334,0.5681818181818182,30.0
Laysan Albatross,0.625,0.5,0.5555555555555556,30.0
Sooty Albatross,0.7391304347826086,0.6071428571428571,0.6666666666666666,28.0
Groove billed Ani,0.5789473684210527,0.7333333333333333,0.6470588235294118,30.0
Crested Auklet,0.5,0.6428571428571429,0.5625,14.0
Least Auklet,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
Parakeet Auklet,0.6153846153846154,0.6956521739130435,0.6530612244897959,23.0
Rhinoceros Auklet,0.5294117647058824,0.5,0.5142857142857142,18.0
Brewer Blackbird,0.4375,0.2413793103448276,0.3111111111111111,29.0
Red winged Blackbird,0.6071428571428571,0.5666666666666667,0.5862068965517241,30.0
Rusty Blackbird,0.44,0.36666666666666664,0.4,30.0
Yellow headed Blackbird,0.6764705882352942,0.8846153846153846,0.7666666666666667,26.0
Bobolink,0.7272727272727273,0.8,0.7619047619047619,30.0
Indigo Bunting,0.5777777777777777,0.8666666666666667,0.6933333333333334,30.0
Lazuli Bunting,0.8571428571428571,0.6428571428571429,0.7346938775510204,28.0
Painted Bunting,0.7333333333333333,0.39285714285714285,0.5116279069767442,28.0
Cardinal,0.7692307692307693,0.37037037037037035,0.5,27.0
Spotted Catbird,0.8125,0.8666666666666667,0.8387096774193549,15.0
Gray Catbird,0.7,0.4827586206896552,0.5714285714285714,29.0
Yellow breasted Chat,0.23076923076923078,0.20689655172413793,0.21818181818181817,29.0
Eastern Towhee,0.7727272727272727,0.5666666666666667,0.6538461538461539,30.0
Chuck will Widow,0.5714285714285714,0.6153846153846154,0.5925925925925926,26.0
Brandt Cormorant,0.5238095238095238,0.3793103448275862,0.44,29.0
Red faced Cormorant,0.5652173913043478,0.5909090909090909,0.5777777777777777,22.0
Pelagic Cormorant,0.6521739130434783,0.5,0.5660377358490566,30.0
Bronzed Cowbird,0.41379310344827586,0.4,0.4067796610169492,30.0
Shiny Cowbird,0.2,0.06666666666666667,0.1,30.0
Brown Creeper,0.5625,0.9310344827586207,0.7012987012987013,29.0
American Crow,0.2619047619047619,0.36666666666666664,0.3055555555555556,30.0
Fish Crow,0.4166666666666667,0.16666666666666666,0.23809523809523808,30.0
Black billed Cuckoo,0.75,0.4,0.5217391304347826,30.0
Mangrove Cuckoo,0.17647058823529413,0.13043478260869565,0.15,23.0
Yellow billed Cuckoo,0.3333333333333333,0.5517241379310345,0.4155844155844156,29.0
Gray crowned Rosy Finch,0.7,0.4827586206896552,0.5714285714285714,29.0
Purple Finch,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
Northern Flicker,0.6666666666666666,0.6,0.631578947368421,30.0
Acadian Flycatcher,0.27586206896551724,0.27586206896551724,0.27586206896551724,29.0
Great Crested Flycatcher,0.42857142857142855,0.1,0.16216216216216217,30.0
Least Flycatcher,0.2,0.13793103448275862,0.16326530612244897,29.0
Olive sided Flycatcher,0.3142857142857143,0.36666666666666664,0.3384615384615385,30.0
Scissor tailed Flycatcher,0.36363636363636365,0.5333333333333333,0.43243243243243246,30.0
Vermilion Flycatcher,0.3939393939393939,0.43333333333333335,0.4126984126984127,30.0
Yellow bellied Flycatcher,0.15384615384615385,0.06896551724137931,0.09523809523809523,29.0
Frigatebird,0.7,0.4666666666666667,0.56,30.0
Northern Fulmar,0.5714285714285714,0.26666666666666666,0.36363636363636365,30.0
Gadwall,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
American Goldfinch,0.8,0.5333333333333333,0.64,30.0
European Goldfinch,0.8076923076923077,0.7,0.75,30.0
Boat tailed Grackle,0.36363636363636365,0.26666666666666666,0.3076923076923077,30.0
Eared Grebe,0.4883720930232558,0.7,0.5753424657534246,30.0
Horned Grebe,0.64,0.5333333333333333,0.5818181818181818,30.0
Pied billed Grebe,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
Western Grebe,0.875,0.9333333333333333,0.9032258064516129,30.0
Blue Grosbeak,0.6666666666666666,0.4666666666666667,0.5490196078431373,30.0
Evening Grosbeak,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Pine Grosbeak,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0
Rose breasted Grosbeak,0.6956521739130435,0.5333333333333333,0.6037735849056604,30.0
Pigeon Guillemot,0.5,0.39285714285714285,0.44,28.0
California Gull,0.3157894736842105,0.2,0.24489795918367346,30.0
Glaucous winged Gull,0.47058823529411764,0.27586206896551724,0.34782608695652173,29.0
Heermann Gull,0.7142857142857143,0.6666666666666666,0.6896551724137931,30.0
Herring Gull,0.2692307692307692,0.23333333333333334,0.25,30.0
Ivory Gull,0.5,0.8666666666666667,0.6341463414634146,30.0
Ring billed Gull,0.375,0.4,0.3870967741935484,30.0
Slaty backed Gull,0.16666666666666666,0.25,0.2,20.0
Western Gull,0.3150684931506849,0.7666666666666667,0.44660194174757284,30.0
Anna Hummingbird,0.4482758620689655,0.43333333333333335,0.4406779661016949,30.0
Ruby throated Hummingbird,0.3125,0.5,0.38461538461538464,30.0
Rufous Hummingbird,0.56,0.4666666666666667,0.509090909090909,30.0
Green Violetear,0.631578947368421,0.8,0.7058823529411765,30.0
Long tailed Jaeger,0.35714285714285715,0.16666666666666666,0.22727272727272727,30.0
Pomarine Jaeger,0.2222222222222222,0.26666666666666666,0.24242424242424243,30.0
Blue Jay,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Florida Jay,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
Green Jay,0.9166666666666666,0.8148148148148148,0.8627450980392157,27.0
Dark eyed Junco,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Tropical Kingbird,0.38461538461538464,0.6666666666666666,0.4878048780487805,30.0
Gray Kingbird,0.3684210526315789,0.2413793103448276,0.2916666666666667,29.0
Belted Kingfisher,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Green Kingfisher,0.5769230769230769,0.5,0.5357142857142857,30.0
Pied Kingfisher,0.5714285714285714,0.8,0.6666666666666666,30.0
Ringed Kingfisher,0.5882352941176471,0.6666666666666666,0.625,30.0
White breasted Kingfisher,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
Red legged Kittiwake,0.44,0.4782608695652174,0.4583333333333333,23.0
Horned Lark,0.390625,0.8333333333333334,0.5319148936170213,30.0
