,precision,recall,f1-score,support
Black footed Albatross,0.29545454545454547,0.43333333333333335,0.35135135135135137,30.0
Laysan Albatross,0.38461538461538464,0.16666666666666666,0.23255813953488372,30.0
Sooty Albatross,0.11764705882352941,0.14285714285714285,0.12903225806451613,28.0
Groove billed Ani,0.25,0.1,0.14285714285714285,30.0
Crested Auklet,0.5,0.5714285714285714,0.5333333333333333,14.0
Least Auklet,0.3,0.5454545454545454,0.3870967741935484,11.0
Parakeet Auklet,0.55,0.4782608695652174,0.5116279069767442,23.0
Rhinoceros Auklet,0.375,0.5,0.42857142857142855,18.0
Brewer Blackbird,0.125,0.034482758620689655,0.05405405405405406,29.0
Red winged Blackbird,0.75,0.6,0.6666666666666666,30.0
Rusty Blackbird,0.42857142857142855,0.1,0.16216216216216217,30.0
Yellow headed Blackbird,0.4883720930232558,0.8076923076923077,0.6086956521739131,26.0
Bobolink,0.43478260869565216,0.3333333333333333,0.37735849056603776,30.0
Indigo Bunting,0.45,0.3,0.36,30.0
Lazuli Bunting,0.40476190476190477,0.6071428571428571,0.4857142857142857,28.0
Painted Bunting,0.6111111111111112,0.39285714285714285,0.4782608695652174,28.0
Cardinal,0.7,0.25925925925925924,0.3783783783783784,27.0
Spotted Catbird,0.22727272727272727,0.3333333333333333,0.2702702702702703,15.0
Gray Catbird,0.18181818181818182,0.13793103448275862,0.1568627450980392,29.0
Yellow breasted Chat,0.35294117647058826,0.6206896551724138,0.45,29.0
Eastern Towhee,0.3333333333333333,0.16666666666666666,0.2222222222222222,30.0
Chuck will Widow,0.36363636363636365,0.15384615384615385,0.21621621621621623,26.0
Brandt Cormorant,0.0,0.0,0.0,29.0
Red faced Cormorant,0.4782608695652174,0.5,0.4888888888888889,22.0
Pelagic Cormorant,0.3076923076923077,0.26666666666666666,0.2857142857142857,30.0
Bronzed Cowbird,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
Shiny Cowbird,0.16666666666666666,0.16666666666666666,0.16666666666666666,30.0
Brown Creeper,0.6,0.41379310344827586,0.4897959183673469,29.0
American Crow,0.2,0.3333333333333333,0.25,30.0
Fish Crow,0.2777777777777778,0.16666666666666666,0.20833333333333334,30.0
Black billed Cuckoo,0.15789473684210525,0.1,0.12244897959183673,30.0
Mangrove Cuckoo,0.4,0.2608695652173913,0.3157894736842105,23.0
Yellow billed Cuckoo,0.3111111111111111,0.4827586206896552,0.3783783783783784,29.0
Gray crowned Rosy Finch,0.5,0.20689655172413793,0.2926829268292683,29.0
Purple Finch,0.6206896551724138,0.6,0.6101694915254238,30.0
Northern Flicker,0.8181818181818182,0.3,0.43902439024390244,30.0
Acadian Flycatcher,0.4,0.20689655172413793,0.2727272727272727,29.0
Great Crested Flycatcher,0.21951219512195122,0.3,0.2535211267605634,30.0
Least Flycatcher,0.08333333333333333,0.1724137931034483,0.11235955056179775,29.0
Olive sided Flycatcher,0.16666666666666666,0.26666666666666666,0.20512820512820512,30.0
Scissor tailed Flycatcher,0.23684210526315788,0.3,0.2647058823529412,30.0
Vermilion Flycatcher,0.7142857142857143,0.5,0.5882352941176471,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.6666666666666666,0.26666666666666666,0.38095238095238093,30.0
Northern Fulmar,0.2857142857142857,0.26666666666666666,0.27586206896551724,30.0
Gadwall,0.5333333333333333,0.5333333333333333,0.5333333333333333,30.0
American Goldfinch,0.5909090909090909,0.43333333333333335,0.5,30.0
European Goldfinch,0.8666666666666667,0.43333333333333335,0.5777777777777777,30.0
Boat tailed Grackle,0.26666666666666666,0.26666666666666666,0.26666666666666666,30.0
Eared Grebe,0.6,0.5,0.5454545454545454,30.0
Horned Grebe,0.5925925925925926,0.5333333333333333,0.5614035087719298,30.0
Pied billed Grebe,0.4642857142857143,0.43333333333333335,0.4482758620689655,30.0
Western Grebe,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Blue Grosbeak,0.4375,0.4666666666666667,0.45161290322580644,30.0
Evening Grosbeak,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Pine Grosbeak,0.4117647058823529,0.23333333333333334,0.2978723404255319,30.0
Rose breasted Grosbeak,0.5789473684210527,0.36666666666666664,0.4489795918367347,30.0
Pigeon Guillemot,0.7142857142857143,0.35714285714285715,0.47619047619047616,28.0
California Gull,0.16326530612244897,0.26666666666666666,0.20253164556962025,30.0
Glaucous winged Gull,0.24242424242424243,0.27586206896551724,0.25806451612903225,29.0
Heermann Gull,0.9411764705882353,0.5333333333333333,0.6808510638297872,30.0
Herring Gull,0.3333333333333333,0.06666666666666667,0.1111111111111111,30.0
Ivory Gull,0.2909090909090909,0.5333333333333333,0.3764705882352941,30.0
Ring billed Gull,0.14285714285714285,0.2,0.16666666666666666,30.0
Slaty backed Gull,0.18181818181818182,0.2,0.19047619047619047,20.0
Western Gull,0.4,0.4,0.4,30.0
Anna Hummingbird,0.42105263157894735,0.26666666666666666,0.32653061224489793,30.0
Ruby throated Hummingbird,0.3103448275862069,0.3,0.3050847457627119,30.0
Rufous Hummingbird,0.25,0.26666666666666666,0.25806451612903225,30.0
Green Violetear,0.5,0.43333333333333335,0.4642857142857143,30.0
Long tailed Jaeger,0.21739130434782608,0.16666666666666666,0.18867924528301888,30.0
Pomarine Jaeger,0.19642857142857142,0.36666666666666664,0.2558139534883721,30.0
Blue Jay,0.3333333333333333,0.5333333333333333,0.41025641025641024,30.0
Florida Jay,0.3103448275862069,0.6,0.4090909090909091,30.0
Green Jay,0.7,0.5185185185185185,0.5957446808510638,27.0
Dark eyed Junco,0.15,0.1,0.12,30.0
Tropical Kingbird,0.5333333333333333,0.5333333333333333,0.5333333333333333,30.0
Gray Kingbird,0.2708333333333333,0.4482758620689655,0.33766233766233766,29.0
Belted Kingfisher,0.16129032258064516,0.16666666666666666,0.16393442622950818,30.0
Green Kingfisher,0.38461538461538464,0.16666666666666666,0.23255813953488372,30.0
Pied Kingfisher,0.5675675675675675,0.7,0.6268656716417911,30.0
Ringed Kingfisher,0.3023255813953488,0.43333333333333335,0.3561643835616438,30.0
White breasted Kingfisher,0.6875,0.36666666666666664,0.4782608695652174,30.0
Red legged Kittiwake,0.52,0.5652173913043478,0.5416666666666666,23.0
Horned Lark,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Pacific Loon,0.45,0.3,0.36,30.0
