,precision,recall,f1-score,support
Black footed Albatross,0.43548387096774194,0.9,0.5869565217391305,30.0
Laysan Albatross,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
Sooty Albatross,0.7,0.5,0.5833333333333334,28.0
Groove billed Ani,0.46,0.7666666666666667,0.575,30.0
Crested Auklet,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
Least Auklet,0.6428571428571429,0.8181818181818182,0.72,11.0
Parakeet Auklet,0.6666666666666666,0.8695652173913043,0.7547169811320755,23.0
Rhinoceros Auklet,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0
Brewer Blackbird,0.45454545454545453,0.1724137931034483,0.25,29.0
Red winged Blackbird,0.7142857142857143,0.6666666666666666,0.6896551724137931,30.0
Rusty Blackbird,0.7,0.23333333333333334,0.35,30.0
Yellow headed Blackbird,0.8695652173913043,0.7692307692307693,0.8163265306122449,26.0
Bobolink,0.8571428571428571,0.8,0.8275862068965517,30.0
Indigo Bunting,0.6046511627906976,0.8666666666666667,0.7123287671232876,30.0
Lazuli Bunting,0.6666666666666666,0.8571428571428571,0.75,28.0
Painted Bunting,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
Cardinal,0.7241379310344828,0.7777777777777778,0.75,27.0
Spotted Catbird,0.875,0.9333333333333333,0.9032258064516129,15.0
Gray Catbird,0.6538461538461539,0.5862068965517241,0.6181818181818182,29.0
Yellow breasted Chat,0.5,0.3448275862068966,0.40816326530612246,29.0
Eastern Towhee,0.8333333333333334,0.6666666666666666,0.7407407407407407,30.0
Chuck will Widow,0.5116279069767442,0.8461538461538461,0.6376811594202898,26.0
Brandt Cormorant,0.6,0.3103448275862069,0.4090909090909091,29.0
Red faced Cormorant,0.5909090909090909,0.5909090909090909,0.5909090909090909,22.0
Pelagic Cormorant,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Bronzed Cowbird,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
Shiny Cowbird,0.15,0.1,0.12,30.0
Brown Creeper,0.8387096774193549,0.896551724137931,0.8666666666666667,29.0
American Crow,0.22580645161290322,0.23333333333333334,0.22950819672131148,30.0
Fish Crow,0.4375,0.23333333333333334,0.30434782608695654,30.0
Black billed Cuckoo,0.7777777777777778,0.4666666666666667,0.5833333333333334,30.0
Mangrove Cuckoo,0.35294117647058826,0.5217391304347826,0.42105263157894735,23.0
Yellow billed Cuckoo,0.4166666666666667,0.5172413793103449,0.46153846153846156,29.0
