,precision,recall,f1-score,support
Black footed Albatross,0.3787878787878788,0.8333333333333334,0.5208333333333334,30.0
Laysan Albatross,0.6071428571428571,0.5666666666666667,0.5862068965517241,30.0
Sooty Albatross,0.631578947368421,0.42857142857142855,0.5106382978723404,28.0
Groove billed Ani,0.32786885245901637,0.6666666666666666,0.43956043956043955,30.0
Crested Auklet,0.5,0.6428571428571429,0.5625,14.0
Least Auklet,0.45,0.8181818181818182,0.5806451612903226,11.0
Parakeet Auklet,0.5625,0.782608695652174,0.6545454545454545,23.0
Rhinoceros Auklet,0.4,0.3333333333333333,0.36363636363636365,18.0
Brewer Blackbird,0.3333333333333333,0.13793103448275862,0.1951219512195122,29.0
Red winged Blackbird,0.5555555555555556,0.3333333333333333,0.4166666666666667,30.0
Rusty Blackbird,0.6,0.1,0.17142857142857143,30.0
Yellow headed Blackbird,0.8571428571428571,0.6923076923076923,0.7659574468085106,26.0
Bobolink,0.6875,0.7333333333333333,0.7096774193548387,30.0
Indigo Bunting,0.5098039215686274,0.8666666666666667,0.6419753086419753,30.0
Lazuli Bunting,0.7272727272727273,0.8571428571428571,0.7868852459016393,28.0
Painted Bunting,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
Cardinal,0.5833333333333334,0.5185185185185185,0.5490196078431373,27.0
Spotted Catbird,0.8125,0.8666666666666667,0.8387096774193549,15.0
Gray Catbird,0.4838709677419355,0.5172413793103449,0.5,29.0
Yellow breasted Chat,0.38461538461538464,0.1724137931034483,0.23809523809523808,29.0
Eastern Towhee,0.8181818181818182,0.6,0.6923076923076923,30.0
Chuck will Widow,0.5,0.6538461538461539,0.5666666666666667,26.0
Brandt Cormorant,0.5,0.27586206896551724,0.35555555555555557,29.0
Red faced Cormorant,0.5714285714285714,0.5454545454545454,0.5581395348837209,22.0
Pelagic Cormorant,0.35714285714285715,0.16666666666666666,0.22727272727272727,30.0
Bronzed Cowbird,0.5483870967741935,0.5666666666666667,0.5573770491803278,30.0
Shiny Cowbird,0.19047619047619047,0.13333333333333333,0.1568627450980392,30.0
Brown Creeper,0.6046511627906976,0.896551724137931,0.7222222222222222,29.0
American Crow,0.0625,0.03333333333333333,0.043478260869565216,30.0
Fish Crow,0.1111111111111111,0.03333333333333333,0.05128205128205128,30.0
Black billed Cuckoo,0.5833333333333334,0.4666666666666667,0.5185185185185185,30.0
Mangrove Cuckoo,0.2857142857142857,0.5217391304347826,0.36923076923076925,23.0
Yellow billed Cuckoo,0.3541666666666667,0.5862068965517241,0.44155844155844154,29.0
Gray crowned Rosy Finch,0.6521739130434783,0.5172413793103449,0.5769230769230769,29.0
Purple Finch,0.54,0.9,0.675,30.0
Northern Flicker,0.68,0.5666666666666667,0.6181818181818182,30.0
Acadian Flycatcher,0.4166666666666667,0.1724137931034483,0.24390243902439024,29.0
Great Crested Flycatcher,0.14285714285714285,0.03333333333333333,0.05405405405405406,30.0
Least Flycatcher,0.09090909090909091,0.06896551724137931,0.0784313725490196,29.0
Olive sided Flycatcher,0.2549019607843137,0.43333333333333335,0.32098765432098764,30.0
Scissor tailed Flycatcher,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
Vermilion Flycatcher,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Yellow bellied Flycatcher,0.2,0.10344827586206896,0.13636363636363635,29.0
Frigatebird,0.8571428571428571,0.6,0.7058823529411765,30.0
Northern Fulmar,0.8333333333333334,0.16666666666666666,0.2777777777777778,30.0
Gadwall,0.6153846153846154,0.8,0.6956521739130435,30.0
American Goldfinch,0.5675675675675675,0.7,0.6268656716417911,30.0
European Goldfinch,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0
Boat tailed Grackle,0.18181818181818182,0.06666666666666667,0.0975609756097561,30.0
Eared Grebe,0.5777777777777777,0.8666666666666667,0.6933333333333334,30.0
Horned Grebe,0.7058823529411765,0.4,0.5106382978723404,30.0
Pied billed Grebe,0.7714285714285715,0.9,0.8307692307692308,30.0
Western Grebe,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Blue Grosbeak,0.8,0.4,0.5333333333333333,30.0
Evening Grosbeak,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
Pine Grosbeak,0.4444444444444444,0.4,0.42105263157894735,30.0
Rose breasted Grosbeak,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
Pigeon Guillemot,0.5625,0.32142857142857145,0.4090909090909091,28.0
California Gull,0.4444444444444444,0.13333333333333333,0.20512820512820512,30.0
Glaucous winged Gull,0.6153846153846154,0.27586206896551724,0.38095238095238093,29.0
Heermann Gull,0.6666666666666666,0.8,0.7272727272727273,30.0
Herring Gull,0.1875,0.1,0.13043478260869565,30.0
Ivory Gull,0.575,0.7666666666666667,0.6571428571428571,30.0
Ring billed Gull,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Slaty backed Gull,0.3103448275862069,0.45,0.3673469387755102,20.0
Western Gull,0.4444444444444444,0.8,0.5714285714285714,30.0
Anna Hummingbird,0.4,0.26666666666666666,0.32,30.0
Ruby throated Hummingbird,0.3888888888888889,0.7,0.5,30.0
Rufous Hummingbird,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
Green Violetear,0.6304347826086957,0.9666666666666667,0.7631578947368421,30.0
