,precision,recall,f1-score,support
Black footed Albatross,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
Laysan Albatross,0.5555555555555556,0.6666666666666666,0.6060606060606061,30.0
Sooty Albatross,0.5,0.8571428571428571,0.631578947368421,28.0
Groove billed Ani,0.5777777777777777,0.8666666666666667,0.6933333333333334,30.0
Crested Auklet,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
Least Auklet,0.8888888888888888,0.7272727272727273,0.8,11.0
Parakeet Auklet,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Rhinoceros Auklet,0.46875,0.8333333333333334,0.6,18.0
Brewer Blackbird,0.4444444444444444,0.27586206896551724,0.3404255319148936,29.0
Red winged Blackbird,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0
Rusty Blackbird,0.4230769230769231,0.36666666666666664,0.39285714285714285,30.0
Yellow headed Blackbird,0.9583333333333334,0.8846153846153846,0.92,26.0
Bobolink,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Indigo Bunting,0.6086956521739131,0.9333333333333333,0.7368421052631579,30.0
Lazuli Bunting,0.92,0.8214285714285714,0.8679245283018868,28.0
Painted Bunting,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Cardinal,0.8421052631578947,0.5925925925925926,0.6956521739130435,27.0
Spotted Catbird,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Gray Catbird,0.8076923076923077,0.7241379310344828,0.7636363636363637,29.0
Yellow breasted Chat,0.6666666666666666,0.41379310344827586,0.5106382978723404,29.0
Eastern Towhee,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Chuck will Widow,0.6538461538461539,0.6538461538461539,0.6538461538461539,26.0
Brandt Cormorant,0.5185185185185185,0.4827586206896552,0.5,29.0
Red faced Cormorant,0.75,0.6818181818181818,0.7142857142857143,22.0
Pelagic Cormorant,0.625,0.5,0.5555555555555556,30.0
Bronzed Cowbird,0.7352941176470589,0.8333333333333334,0.78125,30.0
Shiny Cowbird,0.34782608695652173,0.26666666666666666,0.3018867924528302,30.0
Brown Creeper,0.8666666666666667,0.896551724137931,0.8813559322033898,29.0
American Crow,0.4,0.4666666666666667,0.4307692307692308,30.0
Fish Crow,0.4444444444444444,0.13333333333333333,0.20512820512820512,30.0
Black billed Cuckoo,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
Mangrove Cuckoo,0.4444444444444444,0.5217391304347826,0.48,23.0
Yellow billed Cuckoo,0.6153846153846154,0.5517241379310345,0.5818181818181818,29.0
Gray crowned Rosy Finch,0.7692307692307693,0.6896551724137931,0.7272727272727273,29.0
Purple Finch,0.6444444444444445,0.9666666666666667,0.7733333333333333,30.0
Northern Flicker,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0
Acadian Flycatcher,0.6,0.20689655172413793,0.3076923076923077,29.0
Great Crested Flycatcher,0.5,0.03333333333333333,0.0625,30.0
Least Flycatcher,0.2978723404255319,0.4827586206896552,0.3684210526315789,29.0
Olive sided Flycatcher,0.375,0.6,0.46153846153846156,30.0
Scissor tailed Flycatcher,0.6764705882352942,0.7666666666666667,0.71875,30.0
Vermilion Flycatcher,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Yellow bellied Flycatcher,0.38095238095238093,0.27586206896551724,0.32,29.0
Frigatebird,0.7272727272727273,0.8,0.7619047619047619,30.0
Northern Fulmar,0.7142857142857143,0.5,0.5882352941176471,30.0
Gadwall,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
American Goldfinch,0.8571428571428571,1.0,0.9230769230769231,30.0
European Goldfinch,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Boat tailed Grackle,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0
Eared Grebe,0.6153846153846154,0.8,0.6956521739130435,30.0
Horned Grebe,0.9411764705882353,0.5333333333333333,0.6808510638297872,30.0
Pied billed Grebe,0.84375,0.9,0.8709677419354839,30.0
Western Grebe,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Blue Grosbeak,0.7391304347826086,0.5666666666666667,0.6415094339622641,30.0
Evening Grosbeak,0.7297297297297297,0.9,0.8059701492537313,30.0
Pine Grosbeak,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
Rose breasted Grosbeak,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Pigeon Guillemot,0.6538461538461539,0.6071428571428571,0.6296296296296297,28.0
California Gull,0.42857142857142855,0.1,0.16216216216216217,30.0
Glaucous winged Gull,0.6666666666666666,0.27586206896551724,0.3902439024390244,29.0
Heermann Gull,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Herring Gull,0.2916666666666667,0.4666666666666667,0.358974358974359,30.0
Ivory Gull,0.6923076923076923,0.9,0.782608695652174,30.0
Ring billed Gull,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Slaty backed Gull,0.47619047619047616,0.5,0.4878048780487805,20.0
Western Gull,0.5789473684210527,0.7333333333333333,0.6470588235294118,30.0
Anna Hummingbird,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Ruby throated Hummingbird,0.7241379310344828,0.7,0.711864406779661,30.0
Rufous Hummingbird,0.7058823529411765,0.8,0.75,30.0
Green Violetear,0.9090909090909091,1.0,0.9523809523809523,30.0
Long tailed Jaeger,0.6875,0.36666666666666664,0.4782608695652174,30.0
Pomarine Jaeger,0.6818181818181818,0.5,0.5769230769230769,30.0
Blue Jay,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0
Florida Jay,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Green Jay,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
Dark eyed Junco,0.4666666666666667,0.9333333333333333,0.6222222222222222,30.0
Tropical Kingbird,0.7741935483870968,0.8,0.7868852459016393,30.0
Gray Kingbird,0.6153846153846154,0.27586206896551724,0.38095238095238093,29.0
Belted Kingfisher,0.6341463414634146,0.8666666666666667,0.7323943661971831,30.0
Green Kingfisher,0.8181818181818182,0.6,0.6923076923076923,30.0
Pied Kingfisher,0.84375,0.9,0.8709677419354839,30.0
Ringed Kingfisher,0.7,0.4666666666666667,0.56,30.0
White breasted Kingfisher,0.8235294117647058,0.9333333333333333,0.875,30.0
Red legged Kittiwake,0.6060606060606061,0.8695652173913043,0.7142857142857143,23.0
Horned Lark,0.6857142857142857,0.8,0.7384615384615385,30.0
Pacific Loon,0.8181818181818182,0.9,0.8571428571428571,30.0
Mallard,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Western Meadowlark,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Hooded Merganser,0.8571428571428571,0.8,0.8275862068965517,30.0
Red breasted Merganser,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
Mockingbird,0.0,0.0,0.0,30.0
Nighthawk,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Clark Nutcracker,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
White breasted Nuthatch,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Baltimore Oriole,0.6578947368421053,0.8333333333333334,0.7352941176470589,30.0
Hooded Oriole,0.7142857142857143,0.5,0.5882352941176471,30.0
Orchard Oriole,0.6060606060606061,0.6896551724137931,0.6451612903225806,29.0
Scott Oriole,0.8076923076923077,0.7,0.75,30.0
Ovenbird,1.0,0.4,0.5714285714285714,30.0
Brown Pelican,0.967741935483871,1.0,0.9836065573770492,30.0
White Pelican,0.8636363636363636,0.95,0.9047619047619048,20.0
Western Wood Pewee,0.20689655172413793,0.2,0.2033898305084746,30.0
Sayornis,0.4375,0.4666666666666667,0.45161290322580644,30.0
American Pipit,0.4634146341463415,0.6333333333333333,0.5352112676056338,30.0
Whip poor Will,0.45161290322580644,0.7368421052631579,0.56,19.0
Horned Puffin,0.9,0.9,0.9,30.0
Common Raven,0.4358974358974359,0.5666666666666667,0.4927536231884058,30.0
White necked Raven,0.7,0.7,0.7,30.0
American Redstart,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
Geococcyx,0.717948717948718,0.9333333333333333,0.8115942028985508,30.0
Loggerhead Shrike,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Great Grey Shrike,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
Baird Sparrow,0.5833333333333334,0.7,0.6363636363636364,20.0
Black throated Sparrow,0.5681818181818182,0.8333333333333334,0.6756756756756757,30.0
Brewer Sparrow,0.2903225806451613,0.3103448275862069,0.3,29.0
Chipping Sparrow,0.5142857142857142,0.6,0.5538461538461539,30.0
Clay colored Sparrow,0.3333333333333333,0.3448275862068966,0.3389830508474576,29.0
House Sparrow,0.5217391304347826,0.4,0.4528301886792453,30.0
Field Sparrow,0.3148148148148148,0.5862068965517241,0.40963855421686746,29.0
Fox Sparrow,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0
Grasshopper Sparrow,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
Harris Sparrow,0.5681818181818182,0.8333333333333334,0.6756756756756757,30.0
Henslow Sparrow,0.7,0.23333333333333334,0.35,30.0
Le Conte Sparrow,0.46875,0.5172413793103449,0.4918032786885246,29.0
Lincoln Sparrow,0.35185185185185186,0.6551724137931034,0.4578313253012048,29.0
Nelson Sharp tailed Sparrow,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
Savannah Sparrow,0.28205128205128205,0.7333333333333333,0.4074074074074074,30.0
Seaside Sparrow,0.59375,0.6333333333333333,0.6129032258064516,30.0
Song Sparrow,0.5714285714285714,0.4,0.47058823529411764,30.0
Tree Sparrow,0.47368421052631576,0.3,0.3673469387755102,30.0
Vesper Sparrow,0.5833333333333334,0.23333333333333334,0.3333333333333333,30.0
White crowned Sparrow,0.7241379310344828,0.7,0.711864406779661,30.0
White throated Sparrow,0.9,0.3,0.45,30.0
Cape Glossy Starling,0.875,0.9333333333333333,0.9032258064516129,30.0
Bank Swallow,0.52,0.43333333333333335,0.4727272727272727,30.0
Barn Swallow,0.75,0.5,0.6,30.0
Cliff Swallow,0.5357142857142857,0.5,0.5172413793103449,30.0
Tree Swallow,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Scarlet Tanager,0.8695652173913043,0.6666666666666666,0.7547169811320755,30.0
Summer Tanager,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
Artic Tern,0.46511627906976744,0.6896551724137931,0.5555555555555556,29.0
Black Tern,0.8333333333333334,0.3333333333333333,0.47619047619047616,30.0
Caspian Tern,0.7058823529411765,0.4,0.5106382978723404,30.0
Common Tern,0.2222222222222222,0.3333333333333333,0.26666666666666666,30.0
Elegant Tern,0.5517241379310345,0.5333333333333333,0.5423728813559322,30.0
Forsters Tern,0.42857142857142855,0.3,0.35294117647058826,30.0
