,precision,recall,f1-score,support
Black footed Albatross,0.4222222222222222,0.6333333333333333,0.5066666666666667,30.0
Laysan Albatross,0.36764705882352944,0.8333333333333334,0.5102040816326531,30.0
Sooty Albatross,0.6,0.5357142857142857,0.5660377358490566,28.0
Groove billed Ani,0.46,0.7666666666666667,0.575,30.0
Crested Auklet,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Least Auklet,0.5263157894736842,0.9090909090909091,0.6666666666666666,11.0
Parakeet Auklet,0.76,0.8260869565217391,0.7916666666666666,23.0
Rhinoceros Auklet,0.38461538461538464,0.5555555555555556,0.45454545454545453,18.0
Brewer Blackbird,0.4444444444444444,0.27586206896551724,0.3404255319148936,29.0
Red winged Blackbird,0.5217391304347826,0.4,0.4528301886792453,30.0
Rusty Blackbird,0.5,0.13333333333333333,0.21052631578947367,30.0
Yellow headed Blackbird,0.8333333333333334,0.5769230769230769,0.6818181818181818,26.0
Bobolink,0.5789473684210527,0.7333333333333333,0.6470588235294118,30.0
Indigo Bunting,0.5178571428571429,0.9666666666666667,0.6744186046511628,30.0
Lazuli Bunting,0.7916666666666666,0.6785714285714286,0.7307692307692307,28.0
Painted Bunting,0.7058823529411765,0.8571428571428571,0.7741935483870968,28.0
Cardinal,0.7894736842105263,0.5555555555555556,0.6521739130434783,27.0
Spotted Catbird,0.7647058823529411,0.8666666666666667,0.8125,15.0
Gray Catbird,0.6,0.41379310344827586,0.4897959183673469,29.0
Yellow breasted Chat,0.3888888888888889,0.2413793103448276,0.2978723404255319,29.0
Eastern Towhee,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
Chuck will Widow,0.5,0.7692307692307693,0.6060606060606061,26.0
Brandt Cormorant,0.5789473684210527,0.3793103448275862,0.4583333333333333,29.0
Red faced Cormorant,0.6,0.4090909090909091,0.4864864864864865,22.0
Pelagic Cormorant,0.5833333333333334,0.4666666666666667,0.5185185185185185,30.0
Bronzed Cowbird,0.5833333333333334,0.7,0.6363636363636364,30.0
Shiny Cowbird,0.42857142857142855,0.2,0.2727272727272727,30.0
Brown Creeper,0.6578947368421053,0.8620689655172413,0.746268656716418,29.0
American Crow,0.1951219512195122,0.26666666666666666,0.22535211267605634,30.0
Fish Crow,0.25,0.03333333333333333,0.058823529411764705,30.0
Black billed Cuckoo,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
Mangrove Cuckoo,0.3,0.391304347826087,0.33962264150943394,23.0
Yellow billed Cuckoo,0.4,0.5517241379310345,0.463768115942029,29.0
Gray crowned Rosy Finch,0.5,0.3793103448275862,0.43137254901960786,29.0
Purple Finch,0.5714285714285714,0.9333333333333333,0.7088607594936709,30.0
Northern Flicker,0.75,0.7,0.7241379310344828,30.0
Acadian Flycatcher,0.6666666666666666,0.20689655172413793,0.3157894736842105,29.0
Great Crested Flycatcher,0.0,0.0,0.0,30.0
Least Flycatcher,0.20833333333333334,0.1724137931034483,0.18867924528301888,29.0
Olive sided Flycatcher,0.22058823529411764,0.5,0.30612244897959184,30.0
Scissor tailed Flycatcher,0.47058823529411764,0.5333333333333333,0.5,30.0
Vermilion Flycatcher,0.6206896551724138,0.6,0.6101694915254238,30.0
Yellow bellied Flycatcher,0.45454545454545453,0.1724137931034483,0.25,29.0
Frigatebird,0.6818181818181818,0.5,0.5769230769230769,30.0
Northern Fulmar,0.5,0.23333333333333334,0.3181818181818182,30.0
Gadwall,0.5625,0.6,0.5806451612903226,30.0
American Goldfinch,0.5576923076923077,0.9666666666666667,0.7073170731707317,30.0
European Goldfinch,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
Boat tailed Grackle,0.4583333333333333,0.36666666666666664,0.4074074074074074,30.0
Eared Grebe,0.4878048780487805,0.6666666666666666,0.5633802816901409,30.0
Horned Grebe,0.7142857142857143,0.3333333333333333,0.45454545454545453,30.0
Pied billed Grebe,0.7307692307692307,0.6333333333333333,0.6785714285714286,30.0
Western Grebe,0.8235294117647058,0.9333333333333333,0.875,30.0
Blue Grosbeak,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0
Evening Grosbeak,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
Pine Grosbeak,0.3333333333333333,0.43333333333333335,0.37681159420289856,30.0
Rose breasted Grosbeak,0.8,0.5333333333333333,0.64,30.0
Pigeon Guillemot,0.5185185185185185,0.5,0.509090909090909,28.0
California Gull,0.3076923076923077,0.13333333333333333,0.18604651162790697,30.0
Glaucous winged Gull,0.45454545454545453,0.1724137931034483,0.25,29.0
Heermann Gull,0.84,0.7,0.7636363636363637,30.0
Herring Gull,0.30952380952380953,0.43333333333333335,0.3611111111111111,30.0
Ivory Gull,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Ring billed Gull,0.4482758620689655,0.43333333333333335,0.4406779661016949,30.0
Slaty backed Gull,0.375,0.45,0.4090909090909091,20.0
Western Gull,0.5142857142857142,0.6,0.5538461538461539,30.0
Anna Hummingbird,0.5,0.36666666666666664,0.4230769230769231,30.0
Ruby throated Hummingbird,0.3684210526315789,0.7,0.4827586206896552,30.0
Rufous Hummingbird,0.5217391304347826,0.4,0.4528301886792453,30.0
Green Violetear,0.6923076923076923,0.9,0.782608695652174,30.0
Long tailed Jaeger,0.7777777777777778,0.23333333333333334,0.358974358974359,30.0
Pomarine Jaeger,0.4,0.4666666666666667,0.4307692307692308,30.0
Blue Jay,0.5434782608695652,0.8333333333333334,0.6578947368421053,30.0
Florida Jay,0.52,0.43333333333333335,0.4727272727272727,30.0
Green Jay,0.6428571428571429,0.6666666666666666,0.6545454545454545,27.0
Dark eyed Junco,0.4375,0.9333333333333333,0.5957446808510638,30.0
Tropical Kingbird,0.3968253968253968,0.8333333333333334,0.5376344086021505,30.0
Gray Kingbird,1.0,0.13793103448275862,0.24242424242424243,29.0
Belted Kingfisher,0.5454545454545454,0.4,0.46153846153846156,30.0
Green Kingfisher,0.5,0.43333333333333335,0.4642857142857143,30.0
Pied Kingfisher,0.625,0.8333333333333334,0.7142857142857143,30.0
Ringed Kingfisher,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0
White breasted Kingfisher,0.9130434782608695,0.7,0.7924528301886793,30.0
Red legged Kittiwake,0.5714285714285714,0.6956521739130435,0.6274509803921569,23.0
Horned Lark,0.3472222222222222,0.8333333333333334,0.49019607843137253,30.0
Pacific Loon,0.6923076923076923,0.6,0.6428571428571429,30.0
Mallard,0.6,0.9,0.72,30.0
Western Meadowlark,0.5666666666666667,0.5666666666666667,0.5666666666666667,30.0
Hooded Merganser,0.6428571428571429,0.6,0.6206896551724138,30.0
Red breasted Merganser,0.6666666666666666,0.9333333333333333,0.7777777777777778,30.0
Mockingbird,0.0,0.0,0.0,30.0
Nighthawk,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0
Clark Nutcracker,0.6222222222222222,0.9333333333333333,0.7466666666666667,30.0
White breasted Nuthatch,0.8275862068965517,0.8,0.8135593220338984,30.0
Baltimore Oriole,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
Hooded Oriole,0.3684210526315789,0.23333333333333334,0.2857142857142857,30.0
Orchard Oriole,0.3103448275862069,0.6206896551724138,0.41379310344827586,29.0
Scott Oriole,0.75,0.5,0.6,30.0
Ovenbird,0.0,0.0,0.0,30.0
Brown Pelican,0.9090909090909091,1.0,0.9523809523809523,30.0
White Pelican,0.8095238095238095,0.85,0.8292682926829268,20.0
Western Wood Pewee,0.125,0.2,0.15384615384615385,30.0
Sayornis,0.2903225806451613,0.3,0.29508196721311475,30.0
American Pipit,0.27419354838709675,0.5666666666666667,0.3695652173913043,30.0
Whip poor Will,0.5714285714285714,0.631578947368421,0.6,19.0
Horned Puffin,0.875,0.7,0.7777777777777778,30.0
Common Raven,0.3275862068965517,0.6333333333333333,0.4318181818181818,30.0
White necked Raven,0.5714285714285714,0.4,0.47058823529411764,30.0
American Redstart,0.4230769230769231,0.36666666666666664,0.39285714285714285,30.0
Geococcyx,0.3972602739726027,0.9666666666666667,0.5631067961165048,30.0
Loggerhead Shrike,0.4444444444444444,0.5333333333333333,0.48484848484848486,30.0
Great Grey Shrike,0.45454545454545453,0.5,0.47619047619047616,30.0
Baird Sparrow,0.4090909090909091,0.45,0.42857142857142855,20.0
Black throated Sparrow,0.5555555555555556,0.5,0.5263157894736842,30.0
Brewer Sparrow,0.5454545454545454,0.20689655172413793,0.3,29.0
Chipping Sparrow,0.3076923076923077,0.26666666666666666,0.2857142857142857,30.0
Clay colored Sparrow,0.2631578947368421,0.1724137931034483,0.20833333333333334,29.0
House Sparrow,0.47368421052631576,0.3,0.3673469387755102,30.0
Field Sparrow,0.34146341463414637,0.4827586206896552,0.4,29.0
Fox Sparrow,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0
Grasshopper Sparrow,0.5,0.16666666666666666,0.25,30.0
Harris Sparrow,0.625,0.5,0.5555555555555556,30.0
Henslow Sparrow,0.6666666666666666,0.2,0.3076923076923077,30.0
Le Conte Sparrow,0.38461538461538464,0.3448275862068966,0.36363636363636365,29.0
Lincoln Sparrow,0.2,0.4827586206896552,0.2828282828282828,29.0
Nelson Sharp tailed Sparrow,0.375,0.2,0.2608695652173913,30.0
Savannah Sparrow,0.20481927710843373,0.5666666666666667,0.3008849557522124,30.0
Seaside Sparrow,0.27692307692307694,0.6,0.37894736842105264,30.0
Song Sparrow,0.3,0.1,0.15,30.0
Tree Sparrow,0.3333333333333333,0.1,0.15384615384615385,30.0
Vesper Sparrow,0.42857142857142855,0.1,0.16216216216216217,30.0
White crowned Sparrow,0.47058823529411764,0.5333333333333333,0.5,30.0
White throated Sparrow,0.25,0.03333333333333333,0.058823529411764705,30.0
Cape Glossy Starling,0.6153846153846154,0.8,0.6956521739130435,30.0
Bank Swallow,0.6666666666666666,0.26666666666666666,0.38095238095238093,30.0
