,precision,recall,f1-score,support
Black footed Albatross,0.7058823529411765,0.8,0.75,30.0
Laysan Albatross,0.7741935483870968,0.8,0.7868852459016393,30.0
Sooty Albatross,0.92,0.8214285714285714,0.8679245283018868,28.0
Groove billed Ani,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Crested Auklet,0.8,0.8571428571428571,0.8275862068965517,14.0
Least Auklet,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Parakeet Auklet,1.0,0.9565217391304348,0.9777777777777777,23.0
Rhinoceros Auklet,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
Brewer Blackbird,0.5517241379310345,0.5517241379310345,0.5517241379310345,29.0
Red winged Blackbird,1.0,0.9333333333333333,0.9655172413793104,30.0
Rusty Blackbird,0.5555555555555556,0.5,0.5263157894736842,30.0
Yellow headed Blackbird,0.96,0.9230769230769231,0.9411764705882353,26.0
Bobolink,0.96,0.8,0.8727272727272727,30.0
Indigo Bunting,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Lazuli Bunting,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0
Painted Bunting,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
Cardinal,0.9642857142857143,1.0,0.9818181818181818,27.0
Spotted Catbird,1.0,1.0,1.0,15.0
Gray Catbird,0.9230769230769231,0.8275862068965517,0.8727272727272727,29.0
Yellow breasted Chat,0.6923076923076923,0.9310344827586207,0.7941176470588235,29.0
Eastern Towhee,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Chuck will Widow,0.8181818181818182,0.6923076923076923,0.75,26.0
Brandt Cormorant,0.6,0.5172413793103449,0.5555555555555556,29.0
Red faced Cormorant,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
Pelagic Cormorant,0.47368421052631576,0.6,0.5294117647058824,30.0
Bronzed Cowbird,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Shiny Cowbird,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0
Brown Creeper,1.0,0.896551724137931,0.9454545454545454,29.0
American Crow,0.6,0.5,0.5454545454545454,30.0
Fish Crow,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
Black billed Cuckoo,0.84,0.7,0.7636363636363637,30.0
Mangrove Cuckoo,0.6956521739130435,0.6956521739130435,0.6956521739130435,23.0
Yellow billed Cuckoo,0.6,0.7241379310344828,0.65625,29.0
Gray crowned Rosy Finch,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
Purple Finch,0.9090909090909091,1.0,0.9523809523809523,30.0
Northern Flicker,1.0,0.9666666666666667,0.9830508474576272,30.0
Acadian Flycatcher,0.39473684210526316,0.5172413793103449,0.44776119402985076,29.0
Great Crested Flycatcher,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
Least Flycatcher,0.42857142857142855,0.3103448275862069,0.36,29.0
Olive sided Flycatcher,0.5882352941176471,0.6666666666666666,0.625,30.0
Scissor tailed Flycatcher,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Vermilion Flycatcher,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Yellow bellied Flycatcher,0.3793103448275862,0.3793103448275862,0.3793103448275862,29.0
Frigatebird,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
Northern Fulmar,0.78125,0.8333333333333334,0.8064516129032258,30.0
Gadwall,0.8181818181818182,0.9,0.8571428571428571,30.0
American Goldfinch,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
European Goldfinch,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Boat tailed Grackle,0.55,0.7333333333333333,0.6285714285714286,30.0
Eared Grebe,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Horned Grebe,0.7,0.7,0.7,30.0
Pied billed Grebe,0.8709677419354839,0.9,0.8852459016393442,30.0
Western Grebe,1.0,0.8333333333333334,0.9090909090909091,30.0
Blue Grosbeak,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Evening Grosbeak,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Pine Grosbeak,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Rose breasted Grosbeak,1.0,0.9666666666666667,0.9830508474576272,30.0
Pigeon Guillemot,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
California Gull,0.3870967741935484,0.4,0.39344262295081966,30.0
Glaucous winged Gull,0.5357142857142857,0.5172413793103449,0.5263157894736842,29.0
Heermann Gull,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
