,precision,recall,f1-score,support
Black footed Albatross,0.35294117647058826,0.6,0.4444444444444444,30.0
Laysan Albatross,0.2978723404255319,0.4666666666666667,0.36363636363636365,30.0
Sooty Albatross,0.1875,0.10714285714285714,0.13636363636363635,28.0
Groove billed Ani,0.2692307692307692,0.23333333333333334,0.25,30.0
Crested Auklet,0.5625,0.6428571428571429,0.6,14.0
Least Auklet,0.08333333333333333,0.36363636363636365,0.13559322033898305,11.0
Parakeet Auklet,0.3,0.391304347826087,0.33962264150943394,23.0
Rhinoceros Auklet,0.14285714285714285,0.16666666666666666,0.15384615384615385,18.0
Brewer Blackbird,0.17647058823529413,0.10344827586206896,0.13043478260869565,29.0
Red winged Blackbird,0.18181818181818182,0.26666666666666666,0.21621621621621623,30.0
Rusty Blackbird,0.0,0.0,0.0,30.0
Yellow headed Blackbird,0.1,0.23076923076923078,0.13953488372093023,26.0
Bobolink,0.0684931506849315,0.16666666666666666,0.0970873786407767,30.0
Indigo Bunting,0.6296296296296297,0.5666666666666667,0.5964912280701754,30.0
Lazuli Bunting,0.041666666666666664,0.03571428571428571,0.038461538461538464,28.0
Painted Bunting,0.44,0.39285714285714285,0.41509433962264153,28.0
Cardinal,0.1320754716981132,0.25925925925925924,0.175,27.0
Spotted Catbird,0.07142857142857142,0.06666666666666667,0.06896551724137931,15.0
Gray Catbird,0.14285714285714285,0.06896551724137931,0.09302325581395349,29.0
Yellow breasted Chat,0.08333333333333333,0.10344827586206896,0.09230769230769231,29.0
Eastern Towhee,0.30434782608695654,0.23333333333333334,0.2641509433962264,30.0
Chuck will Widow,0.32142857142857145,0.34615384615384615,0.3333333333333333,26.0
Brandt Cormorant,0.09375,0.10344827586206896,0.09836065573770492,29.0
Red faced Cormorant,0.2777777777777778,0.22727272727272727,0.25,22.0
Pelagic Cormorant,0.2857142857142857,0.3333333333333333,0.3076923076923077,30.0
Bronzed Cowbird,0.08108108108108109,0.1,0.08955223880597014,30.0
Shiny Cowbird,0.2,0.1,0.13333333333333333,30.0
Brown Creeper,0.11627906976744186,0.1724137931034483,0.1388888888888889,29.0
American Crow,0.07142857142857142,0.03333333333333333,0.045454545454545456,30.0
Fish Crow,0.023255813953488372,0.03333333333333333,0.0273972602739726,30.0
Black billed Cuckoo,0.13636363636363635,0.1,0.11538461538461539,30.0
Mangrove Cuckoo,0.0,0.0,0.0,23.0
Yellow billed Cuckoo,0.1875,0.10344827586206896,0.13333333333333333,29.0
Gray crowned Rosy Finch,0.1111111111111111,0.034482758620689655,0.05263157894736842,29.0
Purple Finch,0.8333333333333334,0.5,0.625,30.0
Northern Flicker,0.3333333333333333,0.13333333333333333,0.19047619047619047,30.0
Acadian Flycatcher,0.18181818181818182,0.13793103448275862,0.1568627450980392,29.0
Great Crested Flycatcher,0.18181818181818182,0.06666666666666667,0.0975609756097561,30.0
Least Flycatcher,0.02702702702702703,0.10344827586206896,0.04285714285714286,29.0
Olive sided Flycatcher,0.08333333333333333,0.1,0.09090909090909091,30.0
Scissor tailed Flycatcher,0.024390243902439025,0.03333333333333333,0.028169014084507043,30.0
Vermilion Flycatcher,0.5,0.36666666666666664,0.4230769230769231,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.02857142857142857,0.03333333333333333,0.03076923076923077,30.0
Northern Fulmar,0.0,0.0,0.0,30.0
Gadwall,0.3888888888888889,0.23333333333333334,0.2916666666666667,30.0
American Goldfinch,0.3181818181818182,0.23333333333333334,0.2692307692307692,30.0
European Goldfinch,0.32432432432432434,0.4,0.3582089552238806,30.0
Boat tailed Grackle,0.23529411764705882,0.13333333333333333,0.1702127659574468,30.0
Eared Grebe,0.20408163265306123,0.3333333333333333,0.25316455696202533,30.0
Horned Grebe,0.30434782608695654,0.23333333333333334,0.2641509433962264,30.0
Pied billed Grebe,0.6842105263157895,0.43333333333333335,0.5306122448979592,30.0
Western Grebe,0.8125,0.43333333333333335,0.5652173913043478,30.0
Blue Grosbeak,0.5555555555555556,0.5,0.5263157894736842,30.0
Evening Grosbeak,0.26666666666666666,0.26666666666666666,0.26666666666666666,30.0
Pine Grosbeak,0.6,0.3,0.4,30.0
Rose breasted Grosbeak,0.25,0.23333333333333334,0.2413793103448276,30.0
Pigeon Guillemot,0.13157894736842105,0.17857142857142858,0.15151515151515152,28.0
California Gull,0.021739130434782608,0.03333333333333333,0.02631578947368421,30.0
Glaucous winged Gull,0.022727272727272728,0.034482758620689655,0.0273972602739726,29.0
Heermann Gull,0.4,0.26666666666666666,0.32,30.0
Herring Gull,0.1,0.06666666666666667,0.08,30.0
Ivory Gull,0.4583333333333333,0.36666666666666664,0.4074074074074074,30.0
Ring billed Gull,0.18181818181818182,0.3333333333333333,0.23529411764705882,30.0
Slaty backed Gull,0.0,0.0,0.0,20.0
Western Gull,0.2619047619047619,0.36666666666666664,0.3055555555555556,30.0
Anna Hummingbird,0.2962962962962963,0.26666666666666666,0.2807017543859649,30.0
Ruby throated Hummingbird,0.11764705882352941,0.06666666666666667,0.0851063829787234,30.0
Rufous Hummingbird,0.3125,0.3333333333333333,0.3225806451612903,30.0
Green Violetear,0.9411764705882353,0.5333333333333333,0.6808510638297872,30.0
Long tailed Jaeger,0.11538461538461539,0.1,0.10714285714285714,30.0
Pomarine Jaeger,0.3333333333333333,0.1,0.15384615384615385,30.0
Blue Jay,0.5625,0.6,0.5806451612903226,30.0
Florida Jay,0.5454545454545454,0.4,0.46153846153846156,30.0
Green Jay,0.30434782608695654,0.25925925925925924,0.28,27.0
Dark eyed Junco,0.2857142857142857,0.3333333333333333,0.3076923076923077,30.0
Tropical Kingbird,0.10526315789473684,0.13333333333333333,0.11764705882352941,30.0
Gray Kingbird,0.11764705882352941,0.13793103448275862,0.12698412698412698,29.0
Belted Kingfisher,0.2,0.2,0.2,30.0
