,precision,recall,f1-score,support
Black footed Albatross,0.5757575757575758,0.6333333333333333,0.6031746031746031,30.0
Laysan Albatross,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Sooty Albatross,0.6857142857142857,0.8571428571428571,0.7619047619047619,28.0
Groove billed Ani,0.5319148936170213,0.8333333333333334,0.6493506493506493,30.0
Crested Auklet,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
Least Auklet,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Parakeet Auklet,0.875,0.9130434782608695,0.8936170212765957,23.0
Rhinoceros Auklet,0.631578947368421,0.6666666666666666,0.6486486486486487,18.0
Brewer Blackbird,0.3333333333333333,0.2413793103448276,0.28,29.0
Red winged Blackbird,0.9642857142857143,0.9,0.9310344827586207,30.0
Rusty Blackbird,0.5555555555555556,0.3333333333333333,0.4166666666666667,30.0
Yellow headed Blackbird,1.0,0.9230769230769231,0.96,26.0
Bobolink,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Indigo Bunting,0.7105263157894737,0.9,0.7941176470588235,30.0
Lazuli Bunting,0.6486486486486487,0.8571428571428571,0.7384615384615385,28.0
Painted Bunting,0.8064516129032258,0.8928571428571429,0.847457627118644,28.0
Cardinal,0.5306122448979592,0.9629629629629629,0.6842105263157895,27.0
Spotted Catbird,1.0,0.9333333333333333,0.9655172413793104,15.0
Gray Catbird,0.8148148148148148,0.7586206896551724,0.7857142857142857,29.0
Yellow breasted Chat,0.35294117647058826,0.41379310344827586,0.38095238095238093,29.0
Eastern Towhee,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0
Chuck will Widow,0.6363636363636364,0.8076923076923077,0.711864406779661,26.0
Brandt Cormorant,0.5294117647058824,0.6206896551724138,0.5714285714285714,29.0
Red faced Cormorant,0.8888888888888888,0.7272727272727273,0.8,22.0
Pelagic Cormorant,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
Bronzed Cowbird,0.5,0.7666666666666667,0.6052631578947368,30.0
Shiny Cowbird,0.2413793103448276,0.23333333333333334,0.23728813559322035,30.0
Brown Creeper,0.8125,0.896551724137931,0.8524590163934426,29.0
American Crow,0.3,0.5,0.375,30.0
Fish Crow,0.8,0.13333333333333333,0.22857142857142856,30.0
Black billed Cuckoo,0.9230769230769231,0.4,0.5581395348837209,30.0
Mangrove Cuckoo,0.625,0.43478260869565216,0.5128205128205128,23.0
Yellow billed Cuckoo,0.46511627906976744,0.6896551724137931,0.5555555555555556,29.0
Gray crowned Rosy Finch,0.8235294117647058,0.4827586206896552,0.6086956521739131,29.0
Purple Finch,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Northern Flicker,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Acadian Flycatcher,0.2647058823529412,0.3103448275862069,0.2857142857142857,29.0
Great Crested Flycatcher,0.6363636363636364,0.4666666666666667,0.5384615384615384,30.0
Least Flycatcher,0.1875,0.3103448275862069,0.23376623376623376,29.0
Olive sided Flycatcher,0.2857142857142857,0.26666666666666666,0.27586206896551724,30.0
Scissor tailed Flycatcher,0.5555555555555556,0.6666666666666666,0.6060606060606061,30.0
Vermilion Flycatcher,0.8571428571428571,0.8,0.8275862068965517,30.0
Yellow bellied Flycatcher,0.21428571428571427,0.10344827586206896,0.13953488372093023,29.0
Frigatebird,0.8076923076923077,0.7,0.75,30.0
Northern Fulmar,0.6666666666666666,0.2,0.3076923076923077,30.0
Gadwall,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
American Goldfinch,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
European Goldfinch,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Boat tailed Grackle,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0
Eared Grebe,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Horned Grebe,0.7714285714285715,0.9,0.8307692307692308,30.0
Pied billed Grebe,0.8,0.8,0.8,30.0
Western Grebe,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Blue Grosbeak,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Evening Grosbeak,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Pine Grosbeak,0.71875,0.7666666666666667,0.7419354838709677,30.0
Rose breasted Grosbeak,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
Pigeon Guillemot,0.8148148148148148,0.7857142857142857,0.8,28.0
California Gull,0.2702702702702703,0.3333333333333333,0.29850746268656714,30.0
Glaucous winged Gull,0.6666666666666666,0.3448275862068966,0.45454545454545453,29.0
Heermann Gull,1.0,0.8,0.8888888888888888,30.0
Herring Gull,0.14285714285714285,0.1,0.11764705882352941,30.0
Ivory Gull,0.75,0.9,0.8181818181818182,30.0
Ring billed Gull,0.4166666666666667,0.6666666666666666,0.5128205128205128,30.0
Slaty backed Gull,0.26,0.65,0.37142857142857144,20.0
Western Gull,0.39285714285714285,0.36666666666666664,0.3793103448275862,30.0
Anna Hummingbird,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
Ruby throated Hummingbird,0.5227272727272727,0.7666666666666667,0.6216216216216216,30.0
Rufous Hummingbird,1.0,0.5,0.6666666666666666,30.0
Green Violetear,0.9375,1.0,0.967741935483871,30.0
Long tailed Jaeger,0.41935483870967744,0.43333333333333335,0.4262295081967213,30.0
Pomarine Jaeger,0.37142857142857144,0.43333333333333335,0.4,30.0
Blue Jay,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Florida Jay,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Green Jay,1.0,0.9629629629629629,0.9811320754716981,27.0
Dark eyed Junco,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Tropical Kingbird,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Gray Kingbird,0.43902439024390244,0.6206896551724138,0.5142857142857142,29.0
Belted Kingfisher,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
Green Kingfisher,0.6285714285714286,0.7333333333333333,0.676923076923077,30.0
Pied Kingfisher,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Ringed Kingfisher,0.5625,0.6,0.5806451612903226,30.0
White breasted Kingfisher,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Red legged Kittiwake,0.5,0.5652173913043478,0.5306122448979592,23.0
Horned Lark,0.9230769230769231,0.8,0.8571428571428571,30.0
Pacific Loon,0.8275862068965517,0.8,0.8135593220338984,30.0
Mallard,1.0,0.7666666666666667,0.8679245283018868,30.0
Western Meadowlark,1.0,0.7666666666666667,0.8679245283018868,30.0
Hooded Merganser,0.8275862068965517,0.8,0.8135593220338984,30.0
Red breasted Merganser,0.8709677419354839,0.9,0.8852459016393442,30.0
Mockingbird,0.30612244897959184,0.5,0.379746835443038,30.0
Nighthawk,0.8125,0.8666666666666667,0.8387096774193549,30.0
Clark Nutcracker,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
White breasted Nuthatch,0.9473684210526315,0.6,0.7346938775510204,30.0
Baltimore Oriole,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Hooded Oriole,0.5769230769230769,0.5,0.5357142857142857,30.0
Orchard Oriole,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
Scott Oriole,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Ovenbird,0.5135135135135135,0.6333333333333333,0.5671641791044776,30.0
Brown Pelican,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
White Pelican,0.8636363636363636,0.95,0.9047619047619048,20.0
Western Wood Pewee,0.16666666666666666,0.43333333333333335,0.24074074074074073,30.0
Sayornis,1.0,0.03333333333333333,0.06451612903225806,30.0
American Pipit,0.5416666666666666,0.43333333333333335,0.48148148148148145,30.0
Whip poor Will,0.6875,0.5789473684210527,0.6285714285714286,19.0
Horned Puffin,1.0,0.9333333333333333,0.9655172413793104,30.0
Common Raven,0.5,0.4,0.4444444444444444,30.0
White necked Raven,0.7777777777777778,0.4666666666666667,0.5833333333333334,30.0
American Redstart,0.6052631578947368,0.7666666666666667,0.6764705882352942,30.0
Geococcyx,0.8888888888888888,0.8,0.8421052631578947,30.0
Loggerhead Shrike,0.3902439024390244,0.5333333333333333,0.4507042253521127,30.0
Great Grey Shrike,0.5,0.5333333333333333,0.5161290322580645,30.0
Baird Sparrow,0.45,0.45,0.45,20.0
Black throated Sparrow,0.875,0.4666666666666667,0.6086956521739131,30.0
Brewer Sparrow,0.3333333333333333,0.10344827586206896,0.15789473684210525,29.0
Chipping Sparrow,0.2857142857142857,0.13333333333333333,0.18181818181818182,30.0
Clay colored Sparrow,0.41935483870967744,0.4482758620689655,0.43333333333333335,29.0
House Sparrow,0.4838709677419355,0.5,0.4918032786885246,30.0
Field Sparrow,0.5263157894736842,0.6896551724137931,0.5970149253731343,29.0
Fox Sparrow,0.7142857142857143,0.6666666666666666,0.6896551724137931,30.0
Grasshopper Sparrow,0.34375,0.36666666666666664,0.3548387096774194,30.0
Harris Sparrow,0.4166666666666667,0.6666666666666666,0.5128205128205128,30.0
Henslow Sparrow,1.0,0.23333333333333334,0.3783783783783784,30.0
Le Conte Sparrow,0.6,0.5172413793103449,0.5555555555555556,29.0
Lincoln Sparrow,0.56,0.4827586206896552,0.5185185185185185,29.0
Nelson Sharp tailed Sparrow,0.6428571428571429,0.3,0.4090909090909091,30.0
Savannah Sparrow,0.2696629213483146,0.8,0.40336134453781514,30.0
Seaside Sparrow,0.6176470588235294,0.7,0.65625,30.0
Song Sparrow,0.5,0.3,0.375,30.0
Tree Sparrow,0.4,0.13333333333333333,0.2,30.0
Vesper Sparrow,0.29411764705882354,0.3333333333333333,0.3125,30.0
White crowned Sparrow,0.6285714285714286,0.7333333333333333,0.676923076923077,30.0
White throated Sparrow,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0
Cape Glossy Starling,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Bank Swallow,0.6,0.4,0.48,30.0
Barn Swallow,0.6785714285714286,0.6333333333333333,0.6551724137931034,30.0
Cliff Swallow,0.5,0.6333333333333333,0.5588235294117647,30.0
Tree Swallow,0.8421052631578947,0.5333333333333333,0.6530612244897959,30.0
Scarlet Tanager,0.9130434782608695,0.7,0.7924528301886793,30.0
Summer Tanager,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Artic Tern,0.5333333333333333,0.8275862068965517,0.6486486486486487,29.0
Black Tern,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Caspian Tern,0.4482758620689655,0.43333333333333335,0.4406779661016949,30.0
Common Tern,0.35,0.23333333333333334,0.28,30.0
Elegant Tern,0.45454545454545453,0.16666666666666666,0.24390243902439024,30.0
Forsters Tern,0.28205128205128205,0.36666666666666664,0.3188405797101449,30.0
Least Tern,0.5882352941176471,0.6666666666666666,0.625,30.0
Green tailed Towhee,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Brown Thrasher,0.8,0.6896551724137931,0.7407407407407407,29.0
Sage Thrasher,0.5555555555555556,0.6666666666666666,0.6060606060606061,30.0
Black capped Vireo,0.4146341463414634,0.8095238095238095,0.5483870967741935,21.0
Blue headed Vireo,0.75,0.3,0.42857142857142855,30.0
Philadelphia Vireo,0.5,0.41379310344827586,0.4528301886792453,29.0
Red eyed Vireo,0.56,0.4666666666666667,0.509090909090909,30.0
Warbling Vireo,0.375,0.5,0.42857142857142855,30.0
White eyed Vireo,0.3541666666666667,0.5666666666666667,0.4358974358974359,30.0
Yellow throated Vireo,0.3902439024390244,0.5517241379310345,0.45714285714285713,29.0
Bay breasted Warbler,0.625,0.8333333333333334,0.7142857142857143,30.0
Black and white Warbler,1.0,0.8,0.8888888888888888,30.0
Black throated Blue Warbler,0.6304347826086957,1.0,0.7733333333333333,29.0
Blue winged Warbler,0.34782608695652173,0.5333333333333333,0.42105263157894735,30.0
Canada Warbler,0.5294117647058824,0.3,0.3829787234042553,30.0
Cape May Warbler,0.7,0.23333333333333334,0.35,30.0
Cerulean Warbler,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
Chestnut sided Warbler,0.4489795918367347,0.7333333333333333,0.5569620253164557,30.0
Golden winged Warbler,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
Hooded Warbler,0.5833333333333334,0.23333333333333334,0.3333333333333333,30.0
Kentucky Warbler,0.38181818181818183,0.7241379310344828,0.5,29.0
Magnolia Warbler,0.5853658536585366,0.8275862068965517,0.6857142857142857,29.0
Mourning Warbler,0.875,0.4666666666666667,0.6086956521739131,30.0
Myrtle Warbler,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
Nashville Warbler,0.34285714285714286,0.4,0.36923076923076925,30.0
Orange crowned Warbler,0.4,0.4666666666666667,0.4307692307692308,30.0
Palm Warbler,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
Pine Warbler,0.3111111111111111,0.4666666666666667,0.37333333333333335,30.0
Prairie Warbler,0.4473684210526316,0.5666666666666667,0.5,30.0
Prothonotary Warbler,0.8,0.6666666666666666,0.7272727272727273,30.0
Swainson Warbler,0.5555555555555556,0.5769230769230769,0.5660377358490566,26.0
Tennessee Warbler,0.0,0.0,0.0,29.0
Wilson Warbler,0.7619047619047619,0.5333333333333333,0.6274509803921569,30.0
Worm eating Warbler,0.6428571428571429,0.6206896551724138,0.631578947368421,29.0
Yellow Warbler,0.6111111111111112,0.7333333333333333,0.6666666666666666,30.0
Northern Waterthrush,0.6875,0.7333333333333333,0.7096774193548387,30.0
Louisiana Waterthrush,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Bohemian Waxwing,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Cedar Waxwing,0.7741935483870968,0.8,0.7868852459016393,30.0
American Three toed Woodpecker,0.6538461538461539,0.85,0.7391304347826086,20.0
Pileated Woodpecker,1.0,0.8333333333333334,0.9090909090909091,30.0
Red bellied Woodpecker,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
Red cockaded Woodpecker,0.8095238095238095,0.5862068965517241,0.68,29.0
Red headed Woodpecker,0.88,0.7333333333333333,0.8,30.0
Downy Woodpecker,0.8181818181818182,0.9,0.8571428571428571,30.0
Bewick Wren,0.4090909090909091,0.3,0.34615384615384615,30.0
Cactus Wren,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Carolina Wren,0.6129032258064516,0.6333333333333333,0.6229508196721312,30.0
House Wren,0.6190476190476191,0.43333333333333335,0.5098039215686274,30.0
Marsh Wren,0.575,0.7666666666666667,0.6571428571428571,30.0
Rock Wren,0.75,0.8,0.7741935483870968,30.0
Winter Wren,0.6470588235294118,0.7333333333333333,0.6875,30.0
Common Yellowthroat,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
accuracy,0.619951674145668,0.619951674145668,0.619951674145668,0.619951674145668
macro avg,0.6548673639232682,0.6235601621353417,0.619758613940039,5794.0
weighted avg,0.6541557466531898,0.619951674145668,0.6173586294123582,5794.0
