,precision,recall,f1-score,support
Black footed Albatross,0.5625,0.6,0.5806451612903226,30.0
Laysan Albatross,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
Sooty Albatross,0.46875,0.5357142857142857,0.5,28.0
Groove billed Ani,0.5434782608695652,0.8333333333333334,0.6578947368421053,30.0
Crested Auklet,0.6875,0.7857142857142857,0.7333333333333333,14.0
Least Auklet,1.0,0.8181818181818182,0.9,11.0
Parakeet Auklet,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
Rhinoceros Auklet,0.5238095238095238,0.6111111111111112,0.5641025641025641,18.0
Brewer Blackbird,0.35294117647058826,0.20689655172413793,0.2608695652173913,29.0
Red winged Blackbird,0.7222222222222222,0.8666666666666667,0.7878787878787878,30.0
Rusty Blackbird,0.6666666666666666,0.4,0.5,30.0
Yellow headed Blackbird,0.875,0.8076923076923077,0.84,26.0
Bobolink,0.6764705882352942,0.7666666666666667,0.71875,30.0
Indigo Bunting,0.5952380952380952,0.8333333333333334,0.6944444444444444,30.0
Lazuli Bunting,0.7037037037037037,0.6785714285714286,0.6909090909090909,28.0
Painted Bunting,0.92,0.8214285714285714,0.8679245283018868,28.0
Cardinal,0.8461538461538461,0.4074074074074074,0.55,27.0
Spotted Catbird,1.0,1.0,1.0,15.0
Gray Catbird,0.6333333333333333,0.6551724137931034,0.6440677966101694,29.0
Yellow breasted Chat,0.21621621621621623,0.27586206896551724,0.24242424242424243,29.0
Eastern Towhee,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Chuck will Widow,0.5945945945945946,0.8461538461538461,0.6984126984126984,26.0
Brandt Cormorant,0.75,0.41379310344827586,0.5333333333333333,29.0
Red faced Cormorant,0.6785714285714286,0.8636363636363636,0.76,22.0
Pelagic Cormorant,0.6,0.6,0.6,30.0
Bronzed Cowbird,0.8666666666666667,0.43333333333333335,0.5777777777777777,30.0
Shiny Cowbird,0.29411764705882354,0.3333333333333333,0.3125,30.0
Brown Creeper,0.7058823529411765,0.8275862068965517,0.7619047619047619,29.0
American Crow,0.15,0.1,0.12,30.0
Fish Crow,0.21052631578947367,0.26666666666666666,0.23529411764705882,30.0
Black billed Cuckoo,0.5357142857142857,0.5,0.5172413793103449,30.0
Mangrove Cuckoo,0.47368421052631576,0.391304347826087,0.42857142857142855,23.0
Yellow billed Cuckoo,0.4482758620689655,0.4482758620689655,0.4482758620689655,29.0
Gray crowned Rosy Finch,0.8571428571428571,0.41379310344827586,0.5581395348837209,29.0
Purple Finch,0.6666666666666666,0.9333333333333333,0.7777777777777778,30.0
Northern Flicker,0.9230769230769231,0.8,0.8571428571428571,30.0
Acadian Flycatcher,0.23255813953488372,0.3448275862068966,0.2777777777777778,29.0
Great Crested Flycatcher,0.5217391304347826,0.4,0.4528301886792453,30.0
Least Flycatcher,0.06896551724137931,0.13793103448275862,0.09195402298850575,29.0
Olive sided Flycatcher,0.3611111111111111,0.43333333333333335,0.3939393939393939,30.0
Scissor tailed Flycatcher,0.6666666666666666,0.26666666666666666,0.38095238095238093,30.0
Vermilion Flycatcher,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Yellow bellied Flycatcher,0.14814814814814814,0.13793103448275862,0.14285714285714285,29.0
Frigatebird,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Northern Fulmar,0.5,0.2,0.2857142857142857,30.0
Gadwall,0.7428571428571429,0.8666666666666667,0.8,30.0
American Goldfinch,0.71875,0.7666666666666667,0.7419354838709677,30.0
European Goldfinch,1.0,0.8,0.8888888888888888,30.0
Boat tailed Grackle,0.4166666666666667,0.3333333333333333,0.37037037037037035,30.0
Eared Grebe,0.5897435897435898,0.7666666666666667,0.6666666666666666,30.0
Horned Grebe,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Pied billed Grebe,0.7428571428571429,0.8666666666666667,0.8,30.0
Western Grebe,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Blue Grosbeak,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Evening Grosbeak,0.7222222222222222,0.8666666666666667,0.7878787878787878,30.0
Pine Grosbeak,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
Rose breasted Grosbeak,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Pigeon Guillemot,0.8181818181818182,0.6428571428571429,0.72,28.0
California Gull,0.21739130434782608,0.16666666666666666,0.18867924528301888,30.0
Glaucous winged Gull,0.42857142857142855,0.3103448275862069,0.36,29.0
Heermann Gull,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Herring Gull,0.25,0.1,0.14285714285714285,30.0
Ivory Gull,0.65625,0.7,0.6774193548387096,30.0
Ring billed Gull,0.43243243243243246,0.5333333333333333,0.47761194029850745,30.0
Slaty backed Gull,0.3,0.15,0.2,20.0
Western Gull,0.4166666666666667,0.8333333333333334,0.5555555555555556,30.0
Anna Hummingbird,0.47368421052631576,0.6,0.5294117647058824,30.0
Ruby throated Hummingbird,0.4,0.4,0.4,30.0
Rufous Hummingbird,0.631578947368421,0.4,0.4897959183673469,30.0
Green Violetear,0.7692307692307693,1.0,0.8695652173913043,30.0
Long tailed Jaeger,0.46153846153846156,0.4,0.42857142857142855,30.0
Pomarine Jaeger,0.4782608695652174,0.36666666666666664,0.41509433962264153,30.0
Blue Jay,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Florida Jay,0.6086956521739131,0.9333333333333333,0.7368421052631579,30.0
Green Jay,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
Dark eyed Junco,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
