,precision,recall,f1-score,support
Black footed Albatross,0.5416666666666666,0.43333333333333335,0.48148148148148145,30.0
Laysan Albatross,0.4358974358974359,0.5666666666666667,0.4927536231884058,30.0
Sooty Albatross,0.3,0.6428571428571429,0.4090909090909091,28.0
Groove billed Ani,0.4411764705882353,0.5,0.46875,30.0
Crested Auklet,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
Least Auklet,0.8888888888888888,0.7272727272727273,0.8,11.0
Parakeet Auklet,0.8,0.8695652173913043,0.8333333333333334,23.0
Rhinoceros Auklet,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
Brewer Blackbird,0.20689655172413793,0.20689655172413793,0.20689655172413793,29.0
Red winged Blackbird,0.4782608695652174,0.7333333333333333,0.5789473684210527,30.0
Rusty Blackbird,0.23684210526315788,0.3,0.2647058823529412,30.0
Yellow headed Blackbird,0.8461538461538461,0.8461538461538461,0.8461538461538461,26.0
Bobolink,0.6875,0.7333333333333333,0.7096774193548387,30.0
Indigo Bunting,0.4642857142857143,0.8666666666666667,0.6046511627906976,30.0
Lazuli Bunting,0.4358974358974359,0.6071428571428571,0.5074626865671642,28.0
Painted Bunting,0.3793103448275862,0.7857142857142857,0.5116279069767442,28.0
Cardinal,0.52,0.48148148148148145,0.5,27.0
Spotted Catbird,0.6363636363636364,0.9333333333333333,0.7567567567567568,15.0
Gray Catbird,0.3492063492063492,0.7586206896551724,0.4782608695652174,29.0
Yellow breasted Chat,0.15151515151515152,0.3448275862068966,0.21052631578947367,29.0
Eastern Towhee,0.37142857142857144,0.43333333333333335,0.4,30.0
Chuck will Widow,0.8333333333333334,0.5769230769230769,0.6818181818181818,26.0
Brandt Cormorant,0.42424242424242425,0.4827586206896552,0.45161290322580644,29.0
Red faced Cormorant,0.5652173913043478,0.5909090909090909,0.5777777777777777,22.0
Pelagic Cormorant,0.2857142857142857,0.13333333333333333,0.18181818181818182,30.0
Bronzed Cowbird,0.45454545454545453,0.3333333333333333,0.38461538461538464,30.0
Shiny Cowbird,0.25,0.3333333333333333,0.2857142857142857,30.0
Brown Creeper,0.6285714285714286,0.7586206896551724,0.6875,29.0
American Crow,0.203125,0.43333333333333335,0.2765957446808511,30.0
Fish Crow,0.5384615384615384,0.23333333333333334,0.32558139534883723,30.0
Black billed Cuckoo,0.45,0.6,0.5142857142857142,30.0
Mangrove Cuckoo,0.34782608695652173,0.34782608695652173,0.34782608695652173,23.0
Yellow billed Cuckoo,0.3333333333333333,0.5517241379310345,0.4155844155844156,29.0
Gray crowned Rosy Finch,0.56,0.4827586206896552,0.5185185185185185,29.0
Purple Finch,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
Northern Flicker,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Acadian Flycatcher,0.11428571428571428,0.27586206896551724,0.16161616161616163,29.0
Great Crested Flycatcher,0.08695652173913043,0.2,0.12121212121212122,30.0
Least Flycatcher,0.1111111111111111,0.3448275862068966,0.16806722689075632,29.0
Olive sided Flycatcher,0.14634146341463414,0.2,0.16901408450704225,30.0
Scissor tailed Flycatcher,0.41025641025641024,0.5333333333333333,0.463768115942029,30.0
Vermilion Flycatcher,0.5428571428571428,0.6333333333333333,0.5846153846153846,30.0
Yellow bellied Flycatcher,0.12962962962962962,0.2413793103448276,0.1686746987951807,29.0
Frigatebird,0.625,0.6666666666666666,0.6451612903225806,30.0
Northern Fulmar,0.35714285714285715,0.16666666666666666,0.22727272727272727,30.0
Gadwall,0.6923076923076923,0.9,0.782608695652174,30.0
American Goldfinch,0.43137254901960786,0.7333333333333333,0.5432098765432098,30.0
European Goldfinch,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Boat tailed Grackle,0.3333333333333333,0.16666666666666666,0.2222222222222222,30.0
Eared Grebe,0.4107142857142857,0.7666666666666667,0.5348837209302325,30.0
Horned Grebe,0.5384615384615384,0.4666666666666667,0.5,30.0
Pied billed Grebe,0.9047619047619048,0.6333333333333333,0.7450980392156863,30.0
Western Grebe,0.8,0.9333333333333333,0.8615384615384616,30.0
