,precision,recall,f1-score,support
Black footed Albatross,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
Laysan Albatross,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Sooty Albatross,0.6153846153846154,0.5714285714285714,0.5925925925925926,28.0
Groove billed Ani,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
Crested Auklet,0.7692307692307693,0.7142857142857143,0.7407407407407407,14.0
Least Auklet,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Parakeet Auklet,0.782608695652174,0.782608695652174,0.782608695652174,23.0
Rhinoceros Auklet,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.0
Brewer Blackbird,0.38095238095238093,0.27586206896551724,0.32,29.0
Red winged Blackbird,0.6774193548387096,0.7,0.6885245901639344,30.0
Rusty Blackbird,0.56,0.4666666666666667,0.509090909090909,30.0
Yellow headed Blackbird,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
Bobolink,0.96,0.8,0.8727272727272727,30.0
Indigo Bunting,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Lazuli Bunting,0.75,0.8571428571428571,0.8,28.0
Painted Bunting,1.0,0.7857142857142857,0.88,28.0
Cardinal,1.0,0.8148148148148148,0.8979591836734694,27.0
Spotted Catbird,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Gray Catbird,0.8888888888888888,0.5517241379310345,0.6808510638297872,29.0
Yellow breasted Chat,0.5806451612903226,0.6206896551724138,0.6,29.0
Eastern Towhee,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Chuck will Widow,0.6470588235294118,0.4230769230769231,0.5116279069767442,26.0
Brandt Cormorant,0.5185185185185185,0.4827586206896552,0.5,29.0
Red faced Cormorant,0.9,0.8181818181818182,0.8571428571428571,22.0
Pelagic Cormorant,0.64,0.5333333333333333,0.5818181818181818,30.0
Bronzed Cowbird,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
Shiny Cowbird,0.2558139534883721,0.36666666666666664,0.3013698630136986,30.0
Brown Creeper,0.8387096774193549,0.896551724137931,0.8666666666666667,29.0
American Crow,0.37142857142857144,0.43333333333333335,0.4,30.0
Fish Crow,0.2857142857142857,0.4,0.3333333333333333,30.0
Black billed Cuckoo,0.6428571428571429,0.6,0.6206896551724138,30.0
Mangrove Cuckoo,0.6,0.391304347826087,0.47368421052631576,23.0
Yellow billed Cuckoo,0.5333333333333333,0.5517241379310345,0.5423728813559322,29.0
Gray crowned Rosy Finch,0.84,0.7241379310344828,0.7777777777777778,29.0
Purple Finch,0.717948717948718,0.9333333333333333,0.8115942028985508,30.0
Northern Flicker,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Acadian Flycatcher,0.32142857142857145,0.3103448275862069,0.3157894736842105,29.0
Great Crested Flycatcher,0.6363636363636364,0.4666666666666667,0.5384615384615384,30.0
Least Flycatcher,0.3225806451612903,0.3448275862068966,0.3333333333333333,29.0
Olive sided Flycatcher,0.34146341463414637,0.4666666666666667,0.39436619718309857,30.0
Scissor tailed Flycatcher,0.6,0.8,0.6857142857142857,30.0
Vermilion Flycatcher,0.8,0.6666666666666666,0.7272727272727273,30.0
Yellow bellied Flycatcher,0.21212121212121213,0.2413793103448276,0.22580645161290322,29.0
Frigatebird,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
Northern Fulmar,0.5294117647058824,0.6,0.5625,30.0
Gadwall,0.75,0.9,0.8181818181818182,30.0
American Goldfinch,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
European Goldfinch,0.8888888888888888,0.8,0.8421052631578947,30.0
Boat tailed Grackle,0.4444444444444444,0.26666666666666666,0.3333333333333333,30.0
Eared Grebe,0.7,0.7,0.7,30.0
Horned Grebe,0.631578947368421,0.8,0.7058823529411765,30.0
Pied billed Grebe,0.7714285714285715,0.9,0.8307692307692308,30.0
Western Grebe,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Blue Grosbeak,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Evening Grosbeak,0.96,0.8,0.8727272727272727,30.0
Pine Grosbeak,0.75,0.6,0.6666666666666666,30.0
Rose breasted Grosbeak,0.7352941176470589,0.8333333333333334,0.78125,30.0
Pigeon Guillemot,0.7586206896551724,0.7857142857142857,0.7719298245614035,28.0
California Gull,0.21739130434782608,0.16666666666666666,0.18867924528301888,30.0
Glaucous winged Gull,0.48,0.41379310344827586,0.4444444444444444,29.0
Heermann Gull,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Herring Gull,0.34782608695652173,0.26666666666666666,0.3018867924528302,30.0
Ivory Gull,0.7058823529411765,0.8,0.75,30.0
Ring billed Gull,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
Slaty backed Gull,0.2413793103448276,0.35,0.2857142857142857,20.0
Western Gull,0.38636363636363635,0.5666666666666667,0.4594594594594595,30.0
Anna Hummingbird,0.5357142857142857,0.5,0.5172413793103449,30.0
Ruby throated Hummingbird,0.5,0.6,0.5454545454545454,30.0
Rufous Hummingbird,0.9130434782608695,0.7,0.7924528301886793,30.0
Green Violetear,0.8529411764705882,0.9666666666666667,0.90625,30.0
Long tailed Jaeger,0.65,0.43333333333333335,0.52,30.0
Pomarine Jaeger,0.39285714285714285,0.36666666666666664,0.3793103448275862,30.0
Blue Jay,0.8181818181818182,0.9,0.8571428571428571,30.0
Florida Jay,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Green Jay,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
Dark eyed Junco,0.7272727272727273,0.8,0.7619047619047619,30.0
Tropical Kingbird,0.8,0.8,0.8,30.0
Gray Kingbird,0.40425531914893614,0.6551724137931034,0.5,29.0
Belted Kingfisher,0.6774193548387096,0.7,0.6885245901639344,30.0
Green Kingfisher,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Pied Kingfisher,0.78125,0.8333333333333334,0.8064516129032258,30.0
Ringed Kingfisher,0.7,0.7,0.7,30.0
White breasted Kingfisher,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Red legged Kittiwake,0.6818181818181818,0.6521739130434783,0.6666666666666666,23.0
Horned Lark,0.9,0.9,0.9,30.0
Pacific Loon,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
Mallard,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Western Meadowlark,0.8125,0.8666666666666667,0.8387096774193549,30.0
Hooded Merganser,0.9230769230769231,0.8,0.8571428571428571,30.0
Red breasted Merganser,0.7647058823529411,0.8666666666666667,0.8125,30.0
Mockingbird,0.26666666666666666,0.13333333333333333,0.17777777777777778,30.0
Nighthawk,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Clark Nutcracker,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
White breasted Nuthatch,1.0,0.8,0.8888888888888888,30.0
Baltimore Oriole,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
Hooded Oriole,0.65,0.43333333333333335,0.52,30.0
Orchard Oriole,0.75,0.6206896551724138,0.6792452830188679,29.0
Scott Oriole,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Ovenbird,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Brown Pelican,0.8888888888888888,0.8,0.8421052631578947,30.0
White Pelican,0.76,0.95,0.8444444444444444,20.0
Western Wood Pewee,0.20588235294117646,0.23333333333333334,0.21875,30.0
Sayornis,0.40476190476190477,0.5666666666666667,0.4722222222222222,30.0
American Pipit,0.5121951219512195,0.7,0.5915492957746479,30.0
Whip poor Will,0.4444444444444444,0.8421052631578947,0.5818181818181818,19.0
Horned Puffin,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Common Raven,0.47619047619047616,0.3333333333333333,0.39215686274509803,30.0
White necked Raven,0.6923076923076923,0.6,0.6428571428571429,30.0
American Redstart,0.6875,0.7333333333333333,0.7096774193548387,30.0
Geococcyx,0.875,0.9333333333333333,0.9032258064516129,30.0
Loggerhead Shrike,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
Great Grey Shrike,0.64,0.5333333333333333,0.5818181818181818,30.0
Baird Sparrow,0.3333333333333333,0.4,0.36363636363636365,20.0
Black throated Sparrow,0.6764705882352942,0.7666666666666667,0.71875,30.0
Brewer Sparrow,0.3333333333333333,0.3448275862068966,0.3389830508474576,29.0
Chipping Sparrow,0.35294117647058826,0.2,0.2553191489361702,30.0
Clay colored Sparrow,0.4,0.3448275862068966,0.37037037037037035,29.0
House Sparrow,0.4444444444444444,0.4,0.42105263157894735,30.0
Field Sparrow,0.3611111111111111,0.4482758620689655,0.4,29.0
Fox Sparrow,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
Grasshopper Sparrow,0.46153846153846156,0.4,0.42857142857142855,30.0
Harris Sparrow,0.4883720930232558,0.7,0.5753424657534246,30.0
Henslow Sparrow,0.5909090909090909,0.43333333333333335,0.5,30.0
Le Conte Sparrow,0.7307692307692307,0.6551724137931034,0.6909090909090909,29.0
Lincoln Sparrow,0.5652173913043478,0.4482758620689655,0.5,29.0
Nelson Sharp tailed Sparrow,0.68,0.5666666666666667,0.6181818181818182,30.0
Savannah Sparrow,0.42105263157894735,0.5333333333333333,0.47058823529411764,30.0
Seaside Sparrow,0.48717948717948717,0.6333333333333333,0.5507246376811594,30.0
Song Sparrow,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Tree Sparrow,0.37037037037037035,0.3333333333333333,0.3508771929824561,30.0
Vesper Sparrow,0.27586206896551724,0.26666666666666666,0.2711864406779661,30.0
White crowned Sparrow,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
White throated Sparrow,0.65625,0.7,0.6774193548387096,30.0
Cape Glossy Starling,0.6590909090909091,0.9666666666666667,0.7837837837837838,30.0
Bank Swallow,0.4482758620689655,0.43333333333333335,0.4406779661016949,30.0
Barn Swallow,0.6086956521739131,0.4666666666666667,0.5283018867924528,30.0
Cliff Swallow,0.5151515151515151,0.5666666666666667,0.5396825396825397,30.0
Tree Swallow,0.9473684210526315,0.6,0.7346938775510204,30.0
Scarlet Tanager,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Summer Tanager,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Artic Tern,0.425,0.5862068965517241,0.4927536231884058,29.0
Black Tern,0.5,0.4666666666666667,0.4827586206896552,30.0
Caspian Tern,0.39473684210526316,0.5,0.4411764705882353,30.0
Common Tern,0.25925925925925924,0.23333333333333334,0.24561403508771928,30.0
Elegant Tern,0.4,0.4,0.4,30.0
Forsters Tern,0.3181818181818182,0.23333333333333334,0.2692307692307692,30.0
Least Tern,0.6944444444444444,0.8333333333333334,0.7575757575757576,30.0
Green tailed Towhee,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
Brown Thrasher,0.8148148148148148,0.7586206896551724,0.7857142857142857,29.0
Sage Thrasher,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
Black capped Vireo,0.6785714285714286,0.9047619047619048,0.7755102040816326,21.0
Blue headed Vireo,0.42857142857142855,0.3,0.35294117647058826,30.0
Philadelphia Vireo,0.3870967741935484,0.41379310344827586,0.4,29.0
Red eyed Vireo,0.4857142857142857,0.5666666666666667,0.5230769230769231,30.0
Warbling Vireo,0.3902439024390244,0.5333333333333333,0.4507042253521127,30.0
White eyed Vireo,0.34210526315789475,0.43333333333333335,0.38235294117647056,30.0
Yellow throated Vireo,0.46875,0.5172413793103449,0.4918032786885246,29.0
Bay breasted Warbler,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Black and white Warbler,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
Black throated Blue Warbler,0.7647058823529411,0.896551724137931,0.8253968253968254,29.0
Blue winged Warbler,0.47368421052631576,0.3,0.3673469387755102,30.0
Canada Warbler,0.6363636363636364,0.7,0.6666666666666666,30.0
Cape May Warbler,0.76,0.6333333333333333,0.6909090909090909,30.0
Cerulean Warbler,0.8181818181818182,0.9,0.8571428571428571,30.0
Chestnut sided Warbler,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Golden winged Warbler,0.9565217391304348,0.7586206896551724,0.8461538461538461,29.0
Hooded Warbler,0.75,0.6,0.6666666666666666,30.0
Kentucky Warbler,0.7096774193548387,0.7586206896551724,0.7333333333333333,29.0
Magnolia Warbler,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
Mourning Warbler,0.875,0.7,0.7777777777777778,30.0
Myrtle Warbler,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Nashville Warbler,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
Orange crowned Warbler,0.3125,0.3333333333333333,0.3225806451612903,30.0
Palm Warbler,0.6176470588235294,0.7,0.65625,30.0
Pine Warbler,0.38461538461538464,0.5,0.43478260869565216,30.0
Prairie Warbler,0.5897435897435898,0.7666666666666667,0.6666666666666666,30.0
Prothonotary Warbler,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
