,precision,recall,f1-score,support
Black footed Albatross,0.5588235294117647,0.6333333333333333,0.59375,30.0
Laysan Albatross,0.5517241379310345,0.5333333333333333,0.5423728813559322,30.0
Sooty Albatross,0.4375,0.5,0.4666666666666667,28.0
Groove billed Ani,0.5625,0.6,0.5806451612903226,30.0
Crested Auklet,0.6,0.6428571428571429,0.6206896551724138,14.0
Least Auklet,0.6923076923076923,0.8181818181818182,0.75,11.0
Parakeet Auklet,0.6923076923076923,0.782608695652174,0.7346938775510204,23.0
Rhinoceros Auklet,0.38461538461538464,0.2777777777777778,0.3225806451612903,18.0
Brewer Blackbird,0.2222222222222222,0.13793103448275862,0.1702127659574468,29.0
Red winged Blackbird,0.42105263157894735,0.5333333333333333,0.47058823529411764,30.0
Rusty Blackbird,0.5,0.23333333333333334,0.3181818181818182,30.0
Yellow headed Blackbird,0.6388888888888888,0.8846153846153846,0.7419354838709677,26.0
Bobolink,0.6363636363636364,0.7,0.6666666666666666,30.0
Indigo Bunting,0.52,0.8666666666666667,0.65,30.0
Lazuli Bunting,0.7083333333333334,0.6071428571428571,0.6538461538461539,28.0
Painted Bunting,0.6521739130434783,0.5357142857142857,0.5882352941176471,28.0
Cardinal,0.5625,0.3333333333333333,0.4186046511627907,27.0
Spotted Catbird,0.8,0.8,0.8,15.0
Gray Catbird,0.5357142857142857,0.5172413793103449,0.5263157894736842,29.0
Yellow breasted Chat,0.2,0.1724137931034483,0.18518518518518517,29.0
Eastern Towhee,0.6296296296296297,0.5666666666666667,0.5964912280701754,30.0
Chuck will Widow,0.4782608695652174,0.4230769230769231,0.4489795918367347,26.0
Brandt Cormorant,0.4,0.3448275862068966,0.37037037037037035,29.0
Red faced Cormorant,0.6428571428571429,0.8181818181818182,0.72,22.0
Pelagic Cormorant,0.4230769230769231,0.36666666666666664,0.39285714285714285,30.0
Bronzed Cowbird,0.3333333333333333,0.36666666666666664,0.3492063492063492,30.0
Shiny Cowbird,0.2608695652173913,0.2,0.22641509433962265,30.0
Brown Creeper,0.575,0.7931034482758621,0.6666666666666666,29.0
American Crow,0.24390243902439024,0.3333333333333333,0.28169014084507044,30.0
Fish Crow,0.23076923076923078,0.3,0.2608695652173913,30.0
Black billed Cuckoo,0.5909090909090909,0.43333333333333335,0.5,30.0
Mangrove Cuckoo,0.23529411764705882,0.17391304347826086,0.2,23.0
Yellow billed Cuckoo,0.29545454545454547,0.4482758620689655,0.3561643835616438,29.0
Gray crowned Rosy Finch,0.7777777777777778,0.4827586206896552,0.5957446808510638,29.0
Purple Finch,0.55,0.7333333333333333,0.6285714285714286,30.0
Northern Flicker,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
Acadian Flycatcher,0.27586206896551724,0.27586206896551724,0.27586206896551724,29.0
Great Crested Flycatcher,0.26666666666666666,0.13333333333333333,0.17777777777777778,30.0
Least Flycatcher,0.21428571428571427,0.20689655172413793,0.21052631578947367,29.0
Olive sided Flycatcher,0.34782608695652173,0.26666666666666666,0.3018867924528302,30.0
Scissor tailed Flycatcher,0.46153846153846156,0.6,0.5217391304347826,30.0
Vermilion Flycatcher,0.4090909090909091,0.6,0.4864864864864865,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.8076923076923077,0.7,0.75,30.0
Northern Fulmar,0.4583333333333333,0.36666666666666664,0.4074074074074074,30.0
Gadwall,0.7058823529411765,0.8,0.75,30.0
American Goldfinch,0.46,0.7666666666666667,0.575,30.0
European Goldfinch,0.6875,0.7333333333333333,0.7096774193548387,30.0
Boat tailed Grackle,0.4166666666666667,0.16666666666666666,0.23809523809523808,30.0
Eared Grebe,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
Horned Grebe,0.6388888888888888,0.7666666666666667,0.696969696969697,30.0
Pied billed Grebe,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Western Grebe,0.9642857142857143,0.9,0.9310344827586207,30.0
Blue Grosbeak,0.5714285714285714,0.5333333333333333,0.5517241379310345,30.0
Evening Grosbeak,0.7241379310344828,0.7,0.711864406779661,30.0
Pine Grosbeak,0.6428571428571429,0.3,0.4090909090909091,30.0
Rose breasted Grosbeak,0.5517241379310345,0.5333333333333333,0.5423728813559322,30.0
Pigeon Guillemot,0.5294117647058824,0.32142857142857145,0.4,28.0
California Gull,0.2,0.2,0.2,30.0
Glaucous winged Gull,0.52,0.4482758620689655,0.48148148148148145,29.0
Heermann Gull,0.5581395348837209,0.8,0.6575342465753424,30.0
Herring Gull,0.2631578947368421,0.16666666666666666,0.20408163265306123,30.0
Ivory Gull,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Ring billed Gull,0.37037037037037035,0.3333333333333333,0.3508771929824561,30.0
Slaty backed Gull,0.16666666666666666,0.15,0.15789473684210525,20.0
Western Gull,0.40476190476190477,0.5666666666666667,0.4722222222222222,30.0
Anna Hummingbird,0.48148148148148145,0.43333333333333335,0.45614035087719296,30.0
Ruby throated Hummingbird,0.35135135135135137,0.43333333333333335,0.3880597014925373,30.0
Rufous Hummingbird,0.5714285714285714,0.4,0.47058823529411764,30.0
Green Violetear,0.6153846153846154,0.8,0.6956521739130435,30.0
Long tailed Jaeger,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
Pomarine Jaeger,0.29411764705882354,0.3333333333333333,0.3125,30.0
Blue Jay,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
Florida Jay,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Green Jay,0.8076923076923077,0.7777777777777778,0.7924528301886793,27.0
Dark eyed Junco,0.5675675675675675,0.7,0.6268656716417911,30.0
Tropical Kingbird,0.4,0.6666666666666666,0.5,30.0
Gray Kingbird,0.2222222222222222,0.41379310344827586,0.2891566265060241,29.0
Belted Kingfisher,0.7142857142857143,0.3333333333333333,0.45454545454545453,30.0
Green Kingfisher,0.6,0.3,0.4,30.0
Pied Kingfisher,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Ringed Kingfisher,0.5384615384615384,0.7,0.6086956521739131,30.0
White breasted Kingfisher,0.7777777777777778,0.4666666666666667,0.5833333333333334,30.0
Red legged Kittiwake,0.5714285714285714,0.5217391304347826,0.5454545454545454,23.0
Horned Lark,0.5102040816326531,0.8333333333333334,0.6329113924050633,30.0
Pacific Loon,0.7241379310344828,0.7,0.711864406779661,30.0
Mallard,0.88,0.7333333333333333,0.8,30.0
Western Meadowlark,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Hooded Merganser,0.8571428571428571,0.8,0.8275862068965517,30.0
Red breasted Merganser,0.5319148936170213,0.8333333333333334,0.6493506493506493,30.0
Mockingbird,0.16666666666666666,0.06666666666666667,0.09523809523809523,30.0
Nighthawk,0.68,0.5666666666666667,0.6181818181818182,30.0
Clark Nutcracker,0.7,0.9333333333333333,0.8,30.0
White breasted Nuthatch,0.7307692307692307,0.6333333333333333,0.6785714285714286,30.0
Baltimore Oriole,0.4864864864864865,0.6,0.5373134328358209,30.0
Hooded Oriole,0.375,0.1,0.15789473684210525,30.0
Orchard Oriole,0.4166666666666667,0.3448275862068966,0.37735849056603776,29.0
Scott Oriole,0.8421052631578947,0.5333333333333333,0.6530612244897959,30.0
Ovenbird,0.6,0.5,0.5454545454545454,30.0
Brown Pelican,0.9130434782608695,0.7,0.7924528301886793,30.0
White Pelican,0.6,0.9,0.72,20.0
Western Wood Pewee,0.13793103448275862,0.13333333333333333,0.13559322033898305,30.0
Sayornis,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
American Pipit,0.3076923076923077,0.5333333333333333,0.3902439024390244,30.0
Whip poor Will,0.35294117647058826,0.631578947368421,0.4528301886792453,19.0
Horned Puffin,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
Common Raven,0.34285714285714286,0.4,0.36923076923076925,30.0
White necked Raven,0.8125,0.43333333333333335,0.5652173913043478,30.0
American Redstart,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Geococcyx,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0
Loggerhead Shrike,0.4146341463414634,0.5666666666666667,0.4788732394366197,30.0
Great Grey Shrike,0.55,0.36666666666666664,0.44,30.0
Baird Sparrow,0.3,0.45,0.36,20.0
Black throated Sparrow,0.40625,0.43333333333333335,0.41935483870967744,30.0
