,precision,recall,f1-score,support
Black footed Albatross,0.5625,0.6,0.5806451612903226,30.0
Laysan Albatross,0.625,0.6666666666666666,0.6451612903225806,30.0
Sooty Albatross,0.5294117647058824,0.6428571428571429,0.5806451612903226,28.0
Groove billed Ani,0.7142857142857143,0.8333333333333334,0.7692307692307693,30.0
Crested Auklet,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
Least Auklet,1.0,0.8181818181818182,0.9,11.0
Parakeet Auklet,0.875,0.9130434782608695,0.8936170212765957,23.0
Rhinoceros Auklet,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
Brewer Blackbird,0.4,0.27586206896551724,0.32653061224489793,29.0
Red winged Blackbird,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
Rusty Blackbird,0.6842105263157895,0.43333333333333335,0.5306122448979592,30.0
Yellow headed Blackbird,0.9166666666666666,0.8461538461538461,0.88,26.0
Bobolink,0.8571428571428571,0.8,0.8275862068965517,30.0
Indigo Bunting,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
Lazuli Bunting,0.6578947368421053,0.8928571428571429,0.7575757575757576,28.0
Painted Bunting,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
Cardinal,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
Spotted Catbird,0.8823529411764706,1.0,0.9375,15.0
Gray Catbird,0.696969696969697,0.7931034482758621,0.7419354838709677,29.0
Yellow breasted Chat,0.5714285714285714,0.5517241379310345,0.5614035087719298,29.0
Eastern Towhee,0.78125,0.8333333333333334,0.8064516129032258,30.0
Chuck will Widow,0.8,0.6153846153846154,0.6956521739130435,26.0
Brandt Cormorant,0.5,0.41379310344827586,0.4528301886792453,29.0
Red faced Cormorant,0.85,0.7727272727272727,0.8095238095238095,22.0
Pelagic Cormorant,0.6,0.4,0.48,30.0
Bronzed Cowbird,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
Shiny Cowbird,0.25,0.3333333333333333,0.2857142857142857,30.0
Brown Creeper,0.7352941176470589,0.8620689655172413,0.7936507936507936,29.0
American Crow,0.4482758620689655,0.43333333333333335,0.4406779661016949,30.0
Fish Crow,0.2631578947368421,0.3333333333333333,0.29411764705882354,30.0
Black billed Cuckoo,0.8181818181818182,0.6,0.6923076923076923,30.0
Mangrove Cuckoo,0.5,0.5652173913043478,0.5306122448979592,23.0
Yellow billed Cuckoo,0.5161290322580645,0.5517241379310345,0.5333333333333333,29.0
Gray crowned Rosy Finch,0.92,0.7931034482758621,0.8518518518518519,29.0
Purple Finch,0.8181818181818182,0.9,0.8571428571428571,30.0
Northern Flicker,0.8275862068965517,0.8,0.8135593220338984,30.0
Acadian Flycatcher,0.375,0.3103448275862069,0.33962264150943394,29.0
Great Crested Flycatcher,0.5217391304347826,0.4,0.4528301886792453,30.0
Least Flycatcher,0.3125,0.3448275862068966,0.32786885245901637,29.0
Olive sided Flycatcher,0.4117647058823529,0.4666666666666667,0.4375,30.0
Scissor tailed Flycatcher,0.6764705882352942,0.7666666666666667,0.71875,30.0
Vermilion Flycatcher,0.8888888888888888,0.8,0.8421052631578947,30.0
Yellow bellied Flycatcher,0.23809523809523808,0.1724137931034483,0.2,29.0
Frigatebird,0.9473684210526315,0.6,0.7346938775510204,30.0
Northern Fulmar,0.5217391304347826,0.4,0.4528301886792453,30.0
Gadwall,0.6486486486486487,0.8,0.7164179104477612,30.0
American Goldfinch,0.6857142857142857,0.8,0.7384615384615385,30.0
European Goldfinch,1.0,0.8666666666666667,0.9285714285714286,30.0
Boat tailed Grackle,0.5,0.36666666666666664,0.4230769230769231,30.0
Eared Grebe,0.8,0.8,0.8,30.0
Horned Grebe,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
Pied billed Grebe,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
Western Grebe,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Blue Grosbeak,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Evening Grosbeak,0.9230769230769231,0.8,0.8571428571428571,30.0
Pine Grosbeak,0.8076923076923077,0.7,0.75,30.0
