,precision,recall,f1-score,support
Black footed Albatross,0.45,0.6,0.5142857142857142,30.0
Laysan Albatross,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
Sooty Albatross,0.45161290322580644,0.5,0.4745762711864407,28.0
Groove billed Ani,0.5454545454545454,0.6,0.5714285714285714,30.0
Crested Auklet,0.75,0.6428571428571429,0.6923076923076923,14.0
Least Auklet,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Parakeet Auklet,0.75,0.9130434782608695,0.8235294117647058,23.0
Rhinoceros Auklet,0.391304347826087,0.5,0.43902439024390244,18.0
Brewer Blackbird,0.2631578947368421,0.3448275862068966,0.29850746268656714,29.0
Red winged Blackbird,0.5185185185185185,0.4666666666666667,0.49122807017543857,30.0
Rusty Blackbird,0.47058823529411764,0.26666666666666666,0.3404255319148936,30.0
Yellow headed Blackbird,0.7307692307692307,0.7307692307692307,0.7307692307692307,26.0
Bobolink,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
Indigo Bunting,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0
Lazuli Bunting,0.5714285714285714,0.7142857142857143,0.6349206349206349,28.0
Painted Bunting,0.7931034482758621,0.8214285714285714,0.8070175438596491,28.0
Cardinal,0.5666666666666667,0.6296296296296297,0.5964912280701754,27.0
Spotted Catbird,0.65,0.8666666666666667,0.7428571428571429,15.0
Gray Catbird,0.4864864864864865,0.6206896551724138,0.5454545454545454,29.0
Yellow breasted Chat,0.2916666666666667,0.2413793103448276,0.2641509433962264,29.0
Eastern Towhee,0.6428571428571429,0.6,0.6206896551724138,30.0
Chuck will Widow,0.5217391304347826,0.46153846153846156,0.4897959183673469,26.0
Brandt Cormorant,0.3157894736842105,0.20689655172413793,0.25,29.0
Red faced Cormorant,0.6842105263157895,0.5909090909090909,0.6341463414634146,22.0
Pelagic Cormorant,0.3076923076923077,0.13333333333333333,0.18604651162790697,30.0
Bronzed Cowbird,0.56,0.4666666666666667,0.509090909090909,30.0
Shiny Cowbird,0.18421052631578946,0.23333333333333334,0.20588235294117646,30.0
Brown Creeper,0.5531914893617021,0.896551724137931,0.6842105263157895,29.0
American Crow,0.2631578947368421,0.16666666666666666,0.20408163265306123,30.0
Fish Crow,0.26666666666666666,0.4,0.32,30.0
Black billed Cuckoo,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
Mangrove Cuckoo,0.34375,0.4782608695652174,0.4,23.0
Yellow billed Cuckoo,0.30952380952380953,0.4482758620689655,0.36619718309859156,29.0
Gray crowned Rosy Finch,0.6666666666666666,0.4827586206896552,0.56,29.0
Purple Finch,0.6857142857142857,0.8,0.7384615384615385,30.0
Northern Flicker,0.9,0.6,0.72,30.0
Acadian Flycatcher,0.38095238095238093,0.27586206896551724,0.32,29.0
Great Crested Flycatcher,0.3125,0.16666666666666666,0.21739130434782608,30.0
Least Flycatcher,0.20833333333333334,0.1724137931034483,0.18867924528301888,29.0
Olive sided Flycatcher,0.21568627450980393,0.36666666666666664,0.2716049382716049,30.0
Scissor tailed Flycatcher,0.5428571428571428,0.6333333333333333,0.5846153846153846,30.0
Vermilion Flycatcher,0.6,0.6,0.6,30.0
Yellow bellied Flycatcher,0.11764705882352941,0.06896551724137931,0.08695652173913043,29.0
Frigatebird,0.75,0.5,0.6,30.0
Northern Fulmar,0.4074074074074074,0.36666666666666664,0.38596491228070173,30.0
Gadwall,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0
American Goldfinch,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0
European Goldfinch,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0
Boat tailed Grackle,0.4444444444444444,0.13333333333333333,0.20512820512820512,30.0
Eared Grebe,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0
Horned Grebe,0.6666666666666666,0.6,0.631578947368421,30.0
Pied billed Grebe,0.6744186046511628,0.9666666666666667,0.7945205479452054,30.0
Western Grebe,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Blue Grosbeak,0.5555555555555556,0.5,0.5263157894736842,30.0
Evening Grosbeak,0.6296296296296297,0.5666666666666667,0.5964912280701754,30.0
Pine Grosbeak,0.5,0.4,0.4444444444444444,30.0
Rose breasted Grosbeak,0.68,0.5666666666666667,0.6181818181818182,30.0
Pigeon Guillemot,0.48,0.42857142857142855,0.4528301886792453,28.0
California Gull,0.19230769230769232,0.16666666666666666,0.17857142857142858,30.0
Glaucous winged Gull,0.3333333333333333,0.3793103448275862,0.3548387096774194,29.0
Heermann Gull,0.6875,0.7333333333333333,0.7096774193548387,30.0
Herring Gull,0.2222222222222222,0.06666666666666667,0.10256410256410256,30.0
Ivory Gull,0.5102040816326531,0.8333333333333334,0.6329113924050633,30.0
Ring billed Gull,0.5,0.4,0.4444444444444444,30.0
Slaty backed Gull,0.2727272727272727,0.3,0.2857142857142857,20.0
Western Gull,0.38095238095238093,0.5333333333333333,0.4444444444444444,30.0
Anna Hummingbird,0.4411764705882353,0.5,0.46875,30.0
Ruby throated Hummingbird,0.475,0.6333333333333333,0.5428571428571428,30.0
Rufous Hummingbird,0.65,0.43333333333333335,0.52,30.0
Green Violetear,0.6923076923076923,0.9,0.782608695652174,30.0
Long tailed Jaeger,0.25,0.2,0.2222222222222222,30.0
