,precision,recall,f1-score,support
Black footed Albatross,0.782608695652174,0.6,0.6792452830188679,30.0
Laysan Albatross,0.5625,0.6,0.5806451612903226,30.0
Sooty Albatross,0.5476190476190477,0.8214285714285714,0.6571428571428571,28.0
Groove billed Ani,0.717948717948718,0.9333333333333333,0.8115942028985508,30.0
Crested Auklet,0.8,0.8571428571428571,0.8275862068965517,14.0
Least Auklet,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Parakeet Auklet,0.95,0.8260869565217391,0.8837209302325582,23.0
Rhinoceros Auklet,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0
Brewer Blackbird,0.5454545454545454,0.41379310344827586,0.47058823529411764,29.0
Red winged Blackbird,0.7741935483870968,0.8,0.7868852459016393,30.0
Rusty Blackbird,0.5,0.5,0.5,30.0
Yellow headed Blackbird,0.8928571428571429,0.9615384615384616,0.9259259259259259,26.0
Bobolink,1.0,0.7666666666666667,0.8679245283018868,30.0
Indigo Bunting,0.7837837837837838,0.9666666666666667,0.8656716417910447,30.0
Lazuli Bunting,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0
Painted Bunting,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Cardinal,0.8275862068965517,0.8888888888888888,0.8571428571428571,27.0
Spotted Catbird,1.0,1.0,1.0,15.0
Gray Catbird,0.9545454545454546,0.7241379310344828,0.8235294117647058,29.0
Yellow breasted Chat,0.5161290322580645,0.5517241379310345,0.5333333333333333,29.0
Eastern Towhee,0.96,0.8,0.8727272727272727,30.0
Chuck will Widow,0.6451612903225806,0.7692307692307693,0.7017543859649122,26.0
Brandt Cormorant,0.7222222222222222,0.4482758620689655,0.5531914893617021,29.0
Red faced Cormorant,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
Pelagic Cormorant,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0
Bronzed Cowbird,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Shiny Cowbird,0.42857142857142855,0.4,0.41379310344827586,30.0
Brown Creeper,0.8,0.8275862068965517,0.8135593220338984,29.0
American Crow,0.3235294117647059,0.36666666666666664,0.34375,30.0
Fish Crow,0.30434782608695654,0.23333333333333334,0.2641509433962264,30.0
Black billed Cuckoo,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Mangrove Cuckoo,0.72,0.782608695652174,0.75,23.0
Yellow billed Cuckoo,0.625,0.5172413793103449,0.5660377358490566,29.0
Gray crowned Rosy Finch,0.8846153846153846,0.7931034482758621,0.8363636363636363,29.0
Purple Finch,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
Northern Flicker,0.8709677419354839,0.9,0.8852459016393442,30.0
Acadian Flycatcher,0.4166666666666667,0.3448275862068966,0.37735849056603776,29.0
Great Crested Flycatcher,0.5454545454545454,0.4,0.46153846153846156,30.0
Least Flycatcher,0.2857142857142857,0.41379310344827586,0.3380281690140845,29.0
Olive sided Flycatcher,0.43902439024390244,0.6,0.5070422535211268,30.0
Scissor tailed Flycatcher,0.7647058823529411,0.8666666666666667,0.8125,30.0
Vermilion Flycatcher,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Yellow bellied Flycatcher,0.25,0.27586206896551724,0.26229508196721313,29.0
Frigatebird,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Northern Fulmar,0.5641025641025641,0.7333333333333333,0.6376811594202898,30.0
Gadwall,0.8,0.9333333333333333,0.8615384615384616,30.0
American Goldfinch,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
European Goldfinch,0.8709677419354839,0.9,0.8852459016393442,30.0
Boat tailed Grackle,0.5357142857142857,0.5,0.5172413793103449,30.0
Eared Grebe,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Horned Grebe,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Pied billed Grebe,0.875,0.9333333333333333,0.9032258064516129,30.0
Western Grebe,1.0,0.8666666666666667,0.9285714285714286,30.0
Blue Grosbeak,0.75,0.6,0.6666666666666666,30.0
Evening Grosbeak,0.84375,0.9,0.8709677419354839,30.0
Pine Grosbeak,0.782608695652174,0.6,0.6792452830188679,30.0
Rose breasted Grosbeak,1.0,0.8333333333333334,0.9090909090909091,30.0
