,precision,recall,f1-score,support
Black footed Albatross,0.5882352941176471,0.6666666666666666,0.625,30.0
Laysan Albatross,0.5,0.6,0.5454545454545454,30.0
Sooty Albatross,0.5161290322580645,0.5714285714285714,0.5423728813559322,28.0
Groove billed Ani,0.5227272727272727,0.7666666666666667,0.6216216216216216,30.0
Crested Auklet,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
Least Auklet,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
Parakeet Auklet,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
Rhinoceros Auklet,0.7692307692307693,0.5555555555555556,0.6451612903225806,18.0
Brewer Blackbird,0.25,0.20689655172413793,0.22641509433962265,29.0
Red winged Blackbird,0.4166666666666667,0.5,0.45454545454545453,30.0
Rusty Blackbird,0.55,0.36666666666666664,0.44,30.0
Yellow headed Blackbird,0.8235294117647058,0.5384615384615384,0.6511627906976745,26.0
Bobolink,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Indigo Bunting,0.5918367346938775,0.9666666666666667,0.7341772151898734,30.0
Lazuli Bunting,0.5675675675675675,0.75,0.6461538461538462,28.0
Painted Bunting,0.7142857142857143,0.5357142857142857,0.6122448979591837,28.0
Cardinal,0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0
Spotted Catbird,0.65,0.8666666666666667,0.7428571428571429,15.0
Gray Catbird,0.6818181818181818,0.5172413793103449,0.5882352941176471,29.0
Yellow breasted Chat,0.43478260869565216,0.3448275862068966,0.38461538461538464,29.0
Eastern Towhee,0.6,0.4,0.48,30.0
Chuck will Widow,0.5789473684210527,0.4230769230769231,0.4888888888888889,26.0
Brandt Cormorant,0.5217391304347826,0.41379310344827586,0.46153846153846156,29.0
Red faced Cormorant,0.6666666666666666,0.6363636363636364,0.6511627906976745,22.0
Pelagic Cormorant,0.4074074074074074,0.36666666666666664,0.38596491228070173,30.0
Bronzed Cowbird,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0
Shiny Cowbird,0.3,0.3,0.3,30.0
Brown Creeper,0.6451612903225806,0.6896551724137931,0.6666666666666666,29.0
American Crow,0.2916666666666667,0.23333333333333334,0.25925925925925924,30.0
Fish Crow,0.2903225806451613,0.3,0.29508196721311475,30.0
Black billed Cuckoo,0.5833333333333334,0.4666666666666667,0.5185185185185185,30.0
Mangrove Cuckoo,0.39285714285714285,0.4782608695652174,0.43137254901960786,23.0
Yellow billed Cuckoo,0.4444444444444444,0.5517241379310345,0.49230769230769234,29.0
Gray crowned Rosy Finch,0.5263157894736842,0.3448275862068966,0.4166666666666667,29.0
Purple Finch,0.5833333333333334,0.9333333333333333,0.717948717948718,30.0
Northern Flicker,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Acadian Flycatcher,0.35294117647058826,0.20689655172413793,0.2608695652173913,29.0
Great Crested Flycatcher,0.2,0.06666666666666667,0.1,30.0
Least Flycatcher,0.15384615384615385,0.13793103448275862,0.14545454545454545,29.0
Olive sided Flycatcher,0.27450980392156865,0.4666666666666667,0.345679012345679,30.0
Scissor tailed Flycatcher,0.6923076923076923,0.6,0.6428571428571429,30.0
Vermilion Flycatcher,0.5641025641025641,0.7333333333333333,0.6376811594202898,30.0
Yellow bellied Flycatcher,0.0,0.0,0.0,29.0
Frigatebird,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
Northern Fulmar,0.5,0.36666666666666664,0.4230769230769231,30.0
Gadwall,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0
American Goldfinch,0.5609756097560976,0.7666666666666667,0.647887323943662,30.0
European Goldfinch,0.5897435897435898,0.7666666666666667,0.6666666666666666,30.0
Boat tailed Grackle,0.43478260869565216,0.3333333333333333,0.37735849056603776,30.0
Eared Grebe,0.6486486486486487,0.8,0.7164179104477612,30.0
Horned Grebe,0.7307692307692307,0.6333333333333333,0.6785714285714286,30.0
Pied billed Grebe,0.5897435897435898,0.7666666666666667,0.6666666666666666,30.0
Western Grebe,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Blue Grosbeak,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Evening Grosbeak,0.75,0.6,0.6666666666666666,30.0
Pine Grosbeak,0.4583333333333333,0.36666666666666664,0.4074074074074074,30.0
Rose breasted Grosbeak,0.8,0.5333333333333333,0.64,30.0
Pigeon Guillemot,0.6190476190476191,0.4642857142857143,0.5306122448979592,28.0
California Gull,0.21428571428571427,0.1,0.13636363636363635,30.0
Glaucous winged Gull,0.5454545454545454,0.41379310344827586,0.47058823529411764,29.0
Heermann Gull,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0
Herring Gull,0.3125,0.3333333333333333,0.3225806451612903,30.0
Ivory Gull,0.6578947368421053,0.8333333333333334,0.7352941176470589,30.0
Ring billed Gull,0.48148148148148145,0.43333333333333335,0.45614035087719296,30.0
Slaty backed Gull,0.36363636363636365,0.4,0.38095238095238093,20.0
Western Gull,0.5,0.5,0.5,30.0
Anna Hummingbird,0.5454545454545454,0.6,0.5714285714285714,30.0
Ruby throated Hummingbird,0.4074074074074074,0.36666666666666664,0.38596491228070173,30.0
Rufous Hummingbird,0.46875,0.5,0.4838709677419355,30.0
Green Violetear,0.84375,0.9,0.8709677419354839,30.0
Long tailed Jaeger,0.5714285714285714,0.4,0.47058823529411764,30.0
Pomarine Jaeger,0.46153846153846156,0.6,0.5217391304347826,30.0
Blue Jay,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
Florida Jay,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
Green Jay,0.6060606060606061,0.7407407407407407,0.6666666666666666,27.0
Dark eyed Junco,0.5294117647058824,0.9,0.6666666666666666,30.0
Tropical Kingbird,0.4523809523809524,0.6333333333333333,0.5277777777777778,30.0
Gray Kingbird,0.37037037037037035,0.3448275862068966,0.35714285714285715,29.0
Belted Kingfisher,0.65,0.43333333333333335,0.52,30.0
Green Kingfisher,0.48,0.4,0.43636363636363634,30.0
Pied Kingfisher,0.7647058823529411,0.8666666666666667,0.8125,30.0
Ringed Kingfisher,0.5294117647058824,0.6,0.5625,30.0
White breasted Kingfisher,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
Red legged Kittiwake,0.5925925925925926,0.6956521739130435,0.64,23.0
Horned Lark,0.4888888888888889,0.7333333333333333,0.5866666666666667,30.0
Pacific Loon,0.6,0.7,0.6461538461538462,30.0
Mallard,0.9,0.9,0.9,30.0
Western Meadowlark,0.5294117647058824,0.6,0.5625,30.0
Hooded Merganser,0.7777777777777778,0.7,0.7368421052631579,30.0
Red breasted Merganser,0.8181818181818182,0.9,0.8571428571428571,30.0
Mockingbird,0.0,0.0,0.0,30.0
Nighthawk,0.7741935483870968,0.8,0.7868852459016393,30.0
Clark Nutcracker,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
White breasted Nuthatch,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
Baltimore Oriole,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Hooded Oriole,0.391304347826087,0.3,0.33962264150943394,30.0
Orchard Oriole,0.43243243243243246,0.5517241379310345,0.48484848484848486,29.0
Scott Oriole,0.5833333333333334,0.4666666666666667,0.5185185185185185,30.0
Ovenbird,0.3333333333333333,0.2,0.25,30.0
Brown Pelican,0.9642857142857143,0.9,0.9310344827586207,30.0
White Pelican,0.6206896551724138,0.9,0.7346938775510204,20.0
Western Wood Pewee,0.1875,0.2,0.1935483870967742,30.0
Sayornis,0.2571428571428571,0.3,0.27692307692307694,30.0
American Pipit,0.20689655172413793,0.4,0.2727272727272727,30.0
Whip poor Will,0.4,0.7368421052631579,0.5185185185185185,19.0
Horned Puffin,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
Common Raven,0.2608695652173913,0.2,0.22641509433962265,30.0
White necked Raven,0.5517241379310345,0.5333333333333333,0.5423728813559322,30.0
American Redstart,0.43902439024390244,0.6,0.5070422535211268,30.0
Geococcyx,0.5490196078431373,0.9333333333333333,0.691358024691358,30.0
Loggerhead Shrike,0.5,0.4666666666666667,0.4827586206896552,30.0
Great Grey Shrike,0.4642857142857143,0.43333333333333335,0.4482758620689655,30.0
Baird Sparrow,0.3870967741935484,0.6,0.47058823529411764,20.0
Black throated Sparrow,0.41025641025641024,0.5333333333333333,0.463768115942029,30.0
Brewer Sparrow,0.27586206896551724,0.27586206896551724,0.27586206896551724,29.0
Chipping Sparrow,0.25,0.1,0.14285714285714285,30.0
Clay colored Sparrow,0.2413793103448276,0.2413793103448276,0.2413793103448276,29.0
House Sparrow,0.37037037037037035,0.3333333333333333,0.3508771929824561,30.0
Field Sparrow,0.36,0.3103448275862069,0.3333333333333333,29.0
Fox Sparrow,0.3793103448275862,0.36666666666666664,0.3728813559322034,30.0
Grasshopper Sparrow,0.28,0.23333333333333334,0.2545454545454545,30.0
Harris Sparrow,0.4,0.4666666666666667,0.4307692307692308,30.0
Henslow Sparrow,0.3611111111111111,0.43333333333333335,0.3939393939393939,30.0
Le Conte Sparrow,0.23076923076923078,0.3103448275862069,0.2647058823529412,29.0
Lincoln Sparrow,0.2926829268292683,0.41379310344827586,0.34285714285714286,29.0
Nelson Sharp tailed Sparrow,0.3888888888888889,0.23333333333333334,0.2916666666666667,30.0
Savannah Sparrow,0.21875,0.23333333333333334,0.22580645161290322,30.0
Seaside Sparrow,0.42424242424242425,0.4666666666666667,0.4444444444444444,30.0
Song Sparrow,0.29411764705882354,0.16666666666666666,0.2127659574468085,30.0
Tree Sparrow,0.17647058823529413,0.2,0.1875,30.0
Vesper Sparrow,0.14814814814814814,0.13333333333333333,0.14035087719298245,30.0
White crowned Sparrow,0.5769230769230769,0.5,0.5357142857142857,30.0
White throated Sparrow,0.23076923076923078,0.1,0.13953488372093023,30.0
Cape Glossy Starling,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Bank Swallow,0.4782608695652174,0.36666666666666664,0.41509433962264153,30.0
Barn Swallow,0.5769230769230769,0.5,0.5357142857142857,30.0
