,precision,recall,f1-score,support
Black footed Albatross,0.6111111111111112,0.7333333333333333,0.6666666666666666,30.0
Laysan Albatross,0.7241379310344828,0.7,0.711864406779661,30.0
Sooty Albatross,0.8076923076923077,0.75,0.7777777777777778,28.0
Groove billed Ani,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0
Crested Auklet,0.6470588235294118,0.7857142857142857,0.7096774193548387,14.0
Least Auklet,0.8461538461538461,1.0,0.9166666666666666,11.0
Parakeet Auklet,1.0,0.9565217391304348,0.9777777777777777,23.0
Rhinoceros Auklet,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Brewer Blackbird,0.4642857142857143,0.4482758620689655,0.45614035087719296,29.0
Red winged Blackbird,0.8181818181818182,0.9,0.8571428571428571,30.0
Rusty Blackbird,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0
Yellow headed Blackbird,0.8275862068965517,0.9230769230769231,0.8727272727272727,26.0
Bobolink,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
Indigo Bunting,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Lazuli Bunting,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0
Painted Bunting,1.0,0.8928571428571429,0.9433962264150944,28.0
Cardinal,1.0,0.9629629629629629,0.9811320754716981,27.0
Spotted Catbird,0.7894736842105263,1.0,0.8823529411764706,15.0
Gray Catbird,0.8484848484848485,0.9655172413793104,0.9032258064516129,29.0
Yellow breasted Chat,0.75,0.9310344827586207,0.8307692307692308,29.0
Eastern Towhee,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Chuck will Widow,0.5945945945945946,0.8461538461538461,0.6984126984126984,26.0
Brandt Cormorant,0.6071428571428571,0.5862068965517241,0.5964912280701754,29.0
Red faced Cormorant,0.6785714285714286,0.8636363636363636,0.76,22.0
Pelagic Cormorant,0.5517241379310345,0.5333333333333333,0.5423728813559322,30.0
Bronzed Cowbird,0.6428571428571429,0.6,0.6206896551724138,30.0
Shiny Cowbird,0.4642857142857143,0.43333333333333335,0.4482758620689655,30.0
Brown Creeper,0.9285714285714286,0.896551724137931,0.9122807017543859,29.0
American Crow,0.3181818181818182,0.23333333333333334,0.2692307692307692,30.0
Fish Crow,0.20408163265306123,0.3333333333333333,0.25316455696202533,30.0
Black billed Cuckoo,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Mangrove Cuckoo,0.6842105263157895,0.5652173913043478,0.6190476190476191,23.0
Yellow billed Cuckoo,0.5416666666666666,0.4482758620689655,0.49056603773584906,29.0
Gray crowned Rosy Finch,0.8064516129032258,0.8620689655172413,0.8333333333333334,29.0
Purple Finch,0.90625,0.9666666666666667,0.9354838709677419,30.0
Northern Flicker,0.9,0.9,0.9,30.0
Acadian Flycatcher,0.4827586206896552,0.4827586206896552,0.4827586206896552,29.0
Great Crested Flycatcher,0.7741935483870968,0.8,0.7868852459016393,30.0
Least Flycatcher,0.43478260869565216,0.3448275862068966,0.38461538461538464,29.0
Olive sided Flycatcher,0.5,0.6,0.5454545454545454,30.0
Scissor tailed Flycatcher,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Vermilion Flycatcher,1.0,0.7666666666666667,0.8679245283018868,30.0
Yellow bellied Flycatcher,0.6,0.5172413793103449,0.5555555555555556,29.0
Frigatebird,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
Northern Fulmar,0.6875,0.7333333333333333,0.7096774193548387,30.0
Gadwall,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
American Goldfinch,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
European Goldfinch,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Boat tailed Grackle,0.45161290322580644,0.4666666666666667,0.45901639344262296,30.0
Eared Grebe,0.7741935483870968,0.8,0.7868852459016393,30.0
Horned Grebe,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Pied billed Grebe,0.9,0.9,0.9,30.0
Western Grebe,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Blue Grosbeak,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Evening Grosbeak,1.0,0.9333333333333333,0.9655172413793104,30.0
Pine Grosbeak,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Rose breasted Grosbeak,0.9310344827586207,0.9,0.9152542372881356,30.0
Pigeon Guillemot,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
California Gull,0.4074074074074074,0.36666666666666664,0.38596491228070173,30.0
Glaucous winged Gull,0.5384615384615384,0.4827586206896552,0.509090909090909,29.0
Heermann Gull,0.9310344827586207,0.9,0.9152542372881356,30.0
Herring Gull,0.2727272727272727,0.2,0.23076923076923078,30.0
Ivory Gull,0.717948717948718,0.9333333333333333,0.8115942028985508,30.0
Ring billed Gull,0.5416666666666666,0.43333333333333335,0.48148148148148145,30.0
Slaty backed Gull,0.5416666666666666,0.65,0.5909090909090909,20.0
Western Gull,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
Anna Hummingbird,0.8,0.6666666666666666,0.7272727272727273,30.0
Ruby throated Hummingbird,0.75,0.8,0.7741935483870968,30.0
Rufous Hummingbird,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
Green Violetear,0.9375,1.0,0.967741935483871,30.0
Long tailed Jaeger,0.5294117647058824,0.3,0.3829787234042553,30.0
Pomarine Jaeger,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
Blue Jay,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Florida Jay,0.7837837837837838,0.9666666666666667,0.8656716417910447,30.0
Green Jay,0.9,1.0,0.9473684210526315,27.0
Dark eyed Junco,0.7352941176470589,0.8333333333333334,0.78125,30.0
Tropical Kingbird,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Gray Kingbird,0.8214285714285714,0.7931034482758621,0.8070175438596491,29.0
Belted Kingfisher,0.6829268292682927,0.9333333333333333,0.7887323943661971,30.0
Green Kingfisher,0.9130434782608695,0.7,0.7924528301886793,30.0
Pied Kingfisher,0.8235294117647058,0.9333333333333333,0.875,30.0
Ringed Kingfisher,0.8,0.6666666666666666,0.7272727272727273,30.0
White breasted Kingfisher,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Red legged Kittiwake,0.7407407407407407,0.8695652173913043,0.8,23.0
Horned Lark,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Pacific Loon,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
Mallard,0.96,0.8,0.8727272727272727,30.0
Western Meadowlark,1.0,0.9333333333333333,0.9655172413793104,30.0
Hooded Merganser,0.9230769230769231,0.8,0.8571428571428571,30.0
Red breasted Merganser,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Mockingbird,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
Nighthawk,0.6470588235294118,0.7333333333333333,0.6875,30.0
Clark Nutcracker,0.8823529411764706,1.0,0.9375,30.0
White breasted Nuthatch,0.9,0.9,0.9,30.0
Baltimore Oriole,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
Hooded Oriole,0.8888888888888888,0.8,0.8421052631578947,30.0
Orchard Oriole,1.0,0.6551724137931034,0.7916666666666666,29.0
Scott Oriole,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
Ovenbird,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Brown Pelican,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
